Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
3/27/2018,67.31,68.98,67.05,68.43,3384254,0,1,67.31,68.98,67.05,68.43,3384254
3/26/2018,66.82,67.51,66.56,67.31,2911694,0,1,66.82,67.51,66.56,67.31,2911694
3/23/2018,67.43,67.97,66.25,66.39,3103516,0,1,67.43,67.97,66.25,66.39,3103516
3/22/2018,67.03,68.34,66.86,67.36,3137520,0,1,67.03,68.34,66.86,67.36,3137520
3/21/2018,67.45,67.93,66.72,66.91,2805257,0,1,67.45,67.93,66.72,66.91,2805257
3/20/2018,67.21,67.86,67.18,67.45,2477476,0,1,67.21,67.86,67.18,67.45,2477476
3/19/2018,67.69,68.16,67.105,67.45,2584954,0,1,67.69,68.16,67.105,67.45,2584954
3/16/2018,67.09,67.92,67.071,67.81,6320653,0,1,67.09,67.92,67.071,67.81,6320653
3/15/2018,66.59,67.58,66.495,66.99,4150292,0,1,66.59,67.58,66.495,66.99,4150292
3/14/2018,66.23,66.93,66.11,66.59,2910262,0,1,66.23,66.93,66.11,66.59,2910262
3/13/2018,66.01,66.35,65.57,66.04,2979636,0,1,66.01,66.35,65.57,66.04,2979636
3/12/2018,65.74,65.99,65.58,65.87,3175783,0,1,65.74,65.99,65.58,65.87,3175783
3/9/2018,65.35,65.68,65.08,65.65,3307269,0,1,65.35,65.68,65.08,65.65,3307269
3/8/2018,65.04,65.58,65,65.3,2288062,0,1,65.04,65.58,65,65.3,2288062
3/7/2018,65.35,65.52,64.645,64.92,3071030,0,1,65.35,65.52,64.645,64.92,3071030
3/6/2018,66.35,66.385,65.18,65.5,3421747,0,1,66.35,66.385,65.18,65.5,3421747
3/5/2018,65.09,66.72,64.831,66.49,2720225,0,1,65.09,66.72,64.831,66.49,2720225
3/2/2018,65.74,66.35,64.6,65.18,4418660,0,1,65.74,66.35,64.6,65.18,4418660
3/1/2018,65.65,66.73,65.2391,65.62,3568049,0,1,65.65,66.73,65.2391,65.62,3568049
2/28/2018,66.24,66.56,65.56,65.58,2826392,0,1,66.24,66.56,65.56,65.58,2826392
2/27/2018,67.04,67.5,65.88,65.95,3605081,0,1,67.04,67.5,65.88,65.95,3605081
