Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
3/27/2018,30.65,30.67,29.21,29.52,85188716,0,1,30.65,30.67,29.21,29.52,85188716
3/26/2018,29.89,30.555,29.65,30.44,81989080,0,1,29.89,30.555,29.65,30.44,81989080
3/23/2018,30.69,30.82,29.05,29.17,114544472,0,1,30.69,30.82,29.05,29.17,114544472
3/22/2018,31.44,31.49,30.42,30.55,109386636,0,1,31.44,31.49,30.42,30.55,109386636
3/21/2018,32,32.45,31.68,31.87,64135559,0,1,32,32.45,31.68,31.87,64135559
3/20/2018,32.06,32.2,31.88,31.98,44455976,0,1,32.06,32.2,31.88,31.98,44455976
3/19/2018,32.13,32.22,31.68,31.98,57068585,0,1,32.13,32.22,31.68,31.98,57068585
3/16/2018,32.11,32.57,32.08,32.17,82176070,0,1,32.11,32.57,32.08,32.17,82176070
3/15/2018,32.29,32.34,31.93,32.1,41825422,0,1,32.29,32.34,31.93,32.1,41825422
3/14/2018,32.55,32.55,31.93,32.14,57889408,0,1,32.55,32.55,31.93,32.14,57889408
3/13/2018,32.97,32.99,32.3,32.36,62823477,0,1,32.97,32.99,32.3,32.36,62823477
3/12/2018,32.69,33.05,32.64,32.84,59301639,0,1,32.69,33.05,32.64,32.84,59301639
3/9/2018,32.47,32.73,32.4,32.72,73075006,0,1,32.47,32.73,32.4,32.72,73075006
3/8/2018,32.19,32.27,31.81,32.2,51206287,0,1,32.19,32.27,31.81,32.2,51206287
3/7/2018,31.7,32.23,31.58,32.18,52763869,0,1,31.7,32.23,31.58,32.18,52763869
3/6/2018,32.3,32.32,31.95,32.11,50621256,0,1,32.3,32.32,31.95,32.11,50621256
3/5/2018,31.35,32.355,31.165,32.13,70543121,0,1,31.35,32.355,31.165,32.13,70543121
3/2/2018,31.12,31.69,30.63,31.63,82739099,0,1,31.12,31.69,30.63,31.63,82739099
3/1/2018,32.07,32.345,31.36,31.48,90547117,0.12,1,32.07,32.345,31.36,31.48,90547117
2/28/2018,32.49,32.77,32.09,32.1,70351619,0,1,32.49,32.77,32.09,32.1,70351619
2/27/2018,32.32,32.85,32.32,32.33,68943159,0,1,32.32,32.85,32.32,32.33,68943159
2/26/2018,32.17,32.44,32.05,32.42,60441481,0,1,32.17,32.44,32.05,32.42,60441481
2/23/2018,31.8,32.06,31.76,32.03,50959564,0,1,31.8,32.06,31.76,32.03,50959564
2/22/2018,31.99,32.14,31.59,31.69,64394876,0,1,31.99,32.14,31.59,31.69,64394876
2/21/2018,31.8,32.365,31.77,31.87,71980440,0,1,31.8,32.365,31.77,31.87,71980440
2/20/2018,31.96,32.16,31.75,31.93,58356720,0,1,31.96,32.16,31.75,31.93,58356720
2/16/2018,32,32.26,31.92,31.97,61805677,0,1,32,32.26,31.92,31.97,61805677
2/15/2018,32.39,32.47,31.87,32.21,67806215,0,1,32.39,32.47,31.87,32.21,67806215
2/14/2018,31.17,32.03,31.055,32,92773022,0,1,31.17,32.03,31.055,32,92773022
2/13/2018,31.04,31.4,30.76,31.18,76559902,0,1,31.04,31.4,30.76,31.18,76559902
2/12/2018,30.62,31.44,30.54,31.12,94696662,0,1,30.62,31.44,30.54,31.12,94696662
2/9/2018,30.17,30.61,29.13,30.33,142693575,0,1,30.17,30.61,29.13,30.33,142693575
2/8/2018,31.31,31.38,29.73,29.74,128282047,0,1,31.31,31.38,29.73,29.74,128282047
2/7/2018,31.12,31.74,30.86,31.25,99831300,0,1,31.12,31.74,30.86,31.25,99831300
2/6/2018,29.41,31.29,29.3,31.2,161141551,0,1,29.41,31.29,29.3,31.2,161141551
2/5/2018,31.12,31.98,29.15,30.26,153479504,0,1,31.12,31.98,29.15,30.26,153479504
2/2/2018,32.44,32.67,31.86,31.95,96387301,0,1,32.44,32.67,31.86,31.95,96387301
2/1/2018,32,32.5,31.96,32.5,62054274,0,1,32,32.5,31.96,32.5,62054274
1/31/2018,32.05,32.29,31.95,32,65150630,0,1,32.05,32.29,31.95,32,65150630
1/30/2018,31.95,32.2,31.85,31.88,58917317,0,1,31.95,32.2,31.85,31.88,58917317
1/29/2018,32.25,32.45,32.18,32.28,58205136,0,1,32.25,32.45,32.18,32.28,58205136
1/26/2018,32.11,32.2,31.95,32.2,50334774,0,1,32.11,32.2,31.95,32.2,50334774
1/25/2018,32.24,32.25,31.93,32.09,60230741,0,1,32.24,32.25,31.93,32.09,60230741
1/24/2018,32.01,32.21,31.82,32.09,80706611,0,1,32.01,32.21,31.82,32.09,80706611
1/23/2018,31.86,32.13,31.785,31.92,56124675,0,1,31.86,32.13,31.785,31.92,56124675
