Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
3/27/2018,70.24,70.62,67.61,68.28,20375061,0,1,70.24,70.62,67.61,68.28,20375061
3/26/2018,69.11,70.01,68.29,69.78,19076485,0,1,69.11,70.01,68.29,69.78,19076485
3/23/2018,70.32,70.73,67.75,67.9,31279642,0,1,70.32,70.73,67.75,67.9,31279642
3/22/2018,72.33,72.479,69.87,70.31,27093412,0,1,72.33,72.479,69.87,70.31,27093412
3/21/2018,73.18,74.27,72.69,73.32,14712435,0,1,73.18,74.27,72.69,73.32,14712435
3/20/2018,73.05,73.53,72.71,72.92,12703596,0,1,73.05,73.53,72.71,72.92,12703596
3/19/2018,73.47,73.5,71.92,72.7,14782636,0,1,73.47,73.5,71.92,72.7,14782636
3/16/2018,73.17,74.14,73.15,73.47,32130164,0,1,73.17,74.14,73.15,73.47,32130164
3/15/2018,73.78,73.87,73.01,73.34,12742306,0,1,73.78,73.87,73.01,73.34,12742306
3/14/2018,75.28,75.29,73.32,73.47,17941083,0,1,75.28,75.29,73.32,73.47,17941083
3/13/2018,76.14,76.41,74.655,74.91,12540423,0,1,76.14,76.41,74.655,74.91,12540423
3/12/2018,75.95,76.53,75.92,76.02,12590105,0,1,75.95,76.53,75.92,76.02,12590105
3/9/2018,74.95,76.37,74.6,76.11,15666985,0,1,74.95,76.37,74.6,76.11,15666985
3/8/2018,74.14,74.23,73.127,74.11,10637847,0,1,74.14,74.23,73.127,74.11,10637847
3/7/2018,73.18,74.075,72.86,73.92,14654894,0,1,73.18,74.075,72.86,73.92,14654894
3/6/2018,74.93,74.99,73.75,74.06,14865847,0,1,74.93,74.99,73.75,74.06,14865847
3/5/2018,73.07,74.94,72.7,74.42,16814605,0,1,73.07,74.94,72.7,74.42,16814605
3/2/2018,73.17,73.87,71.881,73.68,21061225,0,1,73.17,73.87,71.881,73.68,21061225
3/1/2018,75.5,75.935,73.2,73.66,23803242,0,1,75.5,75.935,73.2,73.66,23803242
2/28/2018,76.6,77.13,75.45,75.49,19187727,0,1,76.6,77.13,75.45,75.49,19187727
2/27/2018,77.52,77.8752,76.35,76.38,19638045,0,1,77.52,77.8752,76.35,76.38,19638045
2/26/2018,77.23,77.735,76.72,77.65,17184307,0,1,77.23,77.735,76.72,77.65,17184307
2/23/2018,76.48,77.11,76.2,77.08,12161097,0,1,76.48,77.11,76.2,77.08,12161097
2/22/2018,77.28,77.48,75.94,76.27,15473156,0,1,77.28,77.48,75.94,76.27,15473156
2/21/2018,76.4,78.42,76.4,77,15838052,0,1,76.4,78.42,76.4,77,15838052
2/20/2018,76.64,77.23,76.087,76.46,11920887,0,1,76.64,77.23,76.087,76.46,11920887
2/16/2018,76.8,77.37,76.6133,76.82,11444838,0,1,76.8,77.37,76.6133,76.82,11444838
2/15/2018,77.18,77.46,76.4,77.08,11025831,0,1,77.18,77.46,76.4,77.08,11025831
2/14/2018,75.03,76.86,74.73,76.71,16159903,0,1,75.03,76.86,74.73,76.71,16159903
2/13/2018,74.34,75.375,74.15,75.18,11541111,0,1,74.34,75.375,74.15,75.18,11541111
2/12/2018,74.47,75.5,73.97,74.76,16509439,0,1,74.47,75.5,73.97,74.76,16509439
2/9/2018,73.02,74.28,71,73.68,26472242,0,1,73.02,74.28,71,73.68,26472242
2/8/2018,75.07,75.25,71.8,71.87,24840350,0,1,75.07,75.25,71.8,71.87,24840350
2/7/2018,74.77,76.075,74.32,74.99,18692679,0,1,74.77,76.075,74.32,74.99,18692679
2/6/2018,71.52,75.19,71.15,74.82,31690957,0,1,71.52,75.19,71.15,74.82,31690957
2/5/2018,75.52,77.225,72.2,73.27,30726626,0,1,75.52,77.225,72.2,73.27,30726626
2/2/2018,78.65,79.06,76.88,77.02,18427516,0,1,78.65,79.06,76.88,77.02,18427516
2/1/2018,78.27,79.23,78.14,79.2,12315154,0,1,78.27,79.23,78.14,79.2,12315154
1/31/2018,78.78,79.39,78.19,78.48,16187923,0,1,78.78,79.39,78.19,78.48,16187923
1/30/2018,79.2,79.6,78.615,78.62,15680757,0,1,79.2,79.6,78.615,78.62,15680757
1/29/2018,80.12,80.7,79.83,79.96,14367465,0,1,80.12,80.7,79.83,79.96,14367465
1/26/2018,79.61,80.08,78.955,80.08,10966450,0,1,79.61,80.08,78.955,80.08,10966450
1/25/2018,79.85,80.3901,79.21,79.44,14601571,0,1,79.85,80.3901,79.21,79.44,14601571
1/24/2018,78.96,79.705,78.66,79.45,16601922,0,1,78.96,79.705,78.66,79.45,16601922
1/23/2018,78.46,78.885,77.96,78.55,9894522,0,1,78.46,78.885,77.96,78.55,9894522
1/22/2018,78.24,78.9,78.05,78.59,11466361,0,1,78.24,78.9,78.05,78.59,11466361
1/19/2018,77.57,78.38,77.43,78.3,17728961,0,1,77.57,78.38,77.43,78.3,17728961
1/18/2018,77.66,77.7,77.08,77.39,15353142,0,1,77.66,77.7,77.08,77.39,15353142
1/17/2018,76.89,77.6568,76.1,77.47,20848327,0,1,76.89,77.6568,76.1,77.47,20848327
1/16/2018,77.76,78.44,76.79,77.11,25796557,0,1,77.76,78.44,76.79,77.11,25796557
1/12/2018,75.9,76.96,75.78,76.84,16649034,0,1,75.9,76.96,75.78,76.84,16649034
1/11/2018,75.98,76.02,75.14,75.56,15353137,0,1,75.98,76.02,75.14,75.56,15353137
1/10/2018,75.7,76.2833,75.37,75.65,13894027,0,1,75.7,76.2833,75.37,75.65,13894027
1/9/2018,74.76,75.89,74.6099,75.31,14181688,0,1,74.76,75.89,74.6099,75.31,14181688
1/8/2018,75.17,75.24,74.331,74.53,13824356,0,1,75.17,75.24,74.331,74.53,13824356
1/5/2018,75.71,75.77,74.96,75.41,14863313,0,1,75.71,75.77,74.96,75.41,14863313
1/4/2018,75.01,76.115,74.66,75.51,16767881,0,1,75.01,76.115,74.66,75.51,16767881
1/3/2018,74.35,74.7356,73.97,74.59,14374660,0,1,74.35,74.7356,73.97,74.59,14374660
1/2/2018,75.09,75.18,74.015,74.36,14674178,0,1,75.09,75.18,74.015,74.36,14674178
12/29/2017,75.17,75.29,74.38,74.41,10020995,0,1,75.17,75.29,74.38,74.41,10020995
12/28/2017,74.91,75.17,74.84,75.08,7934819,0,1,74.91,75.17,74.84,75.08,7934819
12/27/2017,74.67,75.08,74.52,74.89,9650457,0,1,74.67,75.08,74.52,74.89,9650457
12/26/2017,75.45,75.72,74.415,74.78,10852736,0,1,75.45,75.72,74.415,74.78,10852736
12/22/2017,75.87,75.99,75.05,75.49,11491632,0,1,75.87,75.99,75.05,75.49,11491632
12/21/2017,74.98,76.08,74.94,75.82,13907019,0,1,74.98,76.08,74.94,75.82,13907019
12/20/2017,75.37,75.765,74.61,74.66,15611957,0,1,75.37,75.765,74.61,74.66,15611957
12/19/2017,75.94,76.15,74.65,74.7,16939060,0,1,75.94,76.15,74.65,74.7,16939060
12/18/2017,75.39,76.005,75.27,75.67,16291919,0,1,75.39,76.005,75.27,75.67,16291919
12/15/2017,74.5,75.15,74.27,74.77,35798271,0,1,74.5,75.15,74.27,74.77,35798271
12/14/2017,75.25,75.4305,73.78,73.92,22687542,0,1,75.25,75.4305,73.78,73.92,22687542
12/13/2017,75.95,76.315,75.05,75.14,18922320,0,1,75.95,76.315,75.05,75.14,18922320
12/12/2017,76.04,76.8,75.5244,76.15,18063062,0,1,76.04,76.8,75.5244,76.15,18063062
12/11/2017,75.55,76.13,75.53,75.85,10309149,0,1,75.55,76.13,75.53,75.85,10309149
12/8/2017,75.32,75.72,74.965,75.71,12393028,0,1,75.32,75.72,74.965,75.71,12393028
12/7/2017,74.35,75.32,74.26,74.98,19132137,0,1,74.35,75.32,74.26,74.98,19132137
12/6/2017,76.24,76.5,75.09,75.44,16353888,0,1,76.24,76.5,75.09,75.44,16353888
12/5/2017,76.98,77.28,76.19,76.54,15836167,0,1,76.98,77.28,76.19,76.54,15836167
12/4/2017,77.02,77.92,76.62,77.1,23080848,0,1,77.02,77.92,76.62,77.1,23080848
12/1/2017,75.71,76.24,73.78,75.51,18238174,0,1,75.71,76.24,73.78,75.51,18238174
11/30/2017,75.73,76.8893,75.1499,75.5,22424028,0,1,75.73,76.8893,75.1499,75.5,22424028
11/29/2017,74.42,75.77,74.05,75.04,21801910,0,1,74.42,75.77,74.05,75.04,21801910
11/28/2017,71.44,74,71.13,73.7,17601123,0,1,71.44,74,71.13,73.7,17601123
11/27/2017,71.99,72.36,71.305,71.39,12359567,0,1,71.99,72.36,71.305,71.39,12359567
11/24/2017,72.41,72.52,71.99,72.02,4676099,0,1,72.41,72.52,71.99,72.02,4676099
11/22/2017,72.45,73.15,72.26,72.26,9120984,0,1,72.45,73.15,72.26,72.26,9120984
11/21/2017,72.5,72.59,72.13,72.38,9502650,0,1,72.5,72.59,72.13,72.38,9502650
11/20/2017,71.77,72.3,71.28,72.05,9969752,0,1,71.77,72.3,71.28,72.05,9969752
11/17/2017,71.16,71.83,70.94,71.33,11786729,0,1,71.16,71.83,70.94,71.33,11786729
11/16/2017,72.11,72.3199,71.51,71.67,12402434,0,1,72.11,72.3199,71.51,71.67,12402434
11/15/2017,70.62,72.07,70.02,71.73,17238530,0,1,70.62,72.07,70.02,71.73,17238530
11/14/2017,71.65,71.805,71.04,71.53,13176315,0,1,71.65,71.805,71.04,71.53,13176315
11/13/2017,71.67,72.15,71.48,71.99,13450562,0,1,71.67,72.15,71.48,71.99,13450562
11/10/2017,72.53,72.86,72.11,72.25,12795477,0,1,72.53,72.86,72.11,72.25,12795477
11/9/2017,71.72,72.76,71.45,72.43,15464740,0,1,71.72,72.76,71.45,72.43,15464740
11/7/2017,73.78,74,72.3199,72.71,17231545,0,1,73.78,74,72.3199,72.71,17231545
11/6/2017,73.59,74.03,73.17,73.8,12625454,0,1,73.59,74.03,73.17,73.8,12625454
11/3/2017,74.22,74.39,73.84,74.05,10679159,0.32,1,74.22,74.39,73.84,74.05,10679159
11/2/2017,73.95,74.85,73.33,74.74,12715634,0,1,73.63180718,74.52793465,73.01447492,74.41840796,12715634
