Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
3/27/2018,59.15,59.8188,58.69,59.14,9045686,0,1,59.15,59.8188,58.69,59.14,9045686
3/26/2018,58.37,59.1,58.21,59.08,8460219,0,1,58.37,59.1,58.21,59.08,8460219
3/23/2018,57.04,58.38,56.97,57.74,9359537,0,1,57.04,58.38,56.97,57.74,9359537
3/22/2018,56.41,57.28,56.05,56.5,10142415,0,1,56.41,57.28,56.05,56.5,10142415
3/21/2018,55.1,57.59,55.04,57.04,7184199,0,1,55.1,57.59,55.04,57.04,7184199
3/20/2018,54.1,55.47,53.91,54.7,5077121,0,1,54.1,55.47,53.91,54.7,5077121
3/19/2018,54.76,54.91,53.38,53.57,4778682,0,1,54.76,54.91,53.38,53.57,4778682
3/16/2018,54.11,55.19,53.64,54.93,12686058,0,1,54.11,55.19,53.64,54.93,12686058
3/15/2018,54.31,54.51,53.38,54.03,4919405,0,1,54.31,54.51,53.38,54.03,4919405
3/14/2018,54.34,54.73,53.87,53.96,4052436,0,1,54.34,54.73,53.87,53.96,4052436
3/13/2018,54.94,55.21,53.58,53.96,5511401,0,1,54.94,55.21,53.58,53.96,5511401
3/12/2018,55.01,55.41,54.59,54.74,5037696,0,1,55.01,55.41,54.59,54.74,5037696
3/9/2018,54.07,55.07,54.01,55.06,5305889,0,1,54.07,55.07,54.01,55.06,5305889
3/8/2018,54.13,54.38,52.92,53.57,4489425,0,1,54.13,54.38,52.92,53.57,4489425
3/7/2018,53.31,54.46,53.241,54.07,7245777,0,1,53.31,54.46,53.241,54.07,7245777
3/6/2018,54.28,54.39,53.5,54.06,4925910,0,1,54.28,54.39,53.5,54.06,4925910
3/5/2018,53.49,54.225,53.31,53.99,5266045,0,1,53.49,54.225,53.31,53.99,5266045
3/2/2018,53.54,54.21,52.78,54.06,4574396,0,1,53.54,54.21,52.78,54.06,4574396
3/1/2018,54.5,55.01,53.52,53.88,5135391,0,1,54.5,55.01,53.52,53.88,5135391
2/28/2018,56.02,56.58,54.3,54.31,5788885,0,1,56.02,56.58,54.3,54.31,5788885
2/27/2018,56.5,57.62,55.82,55.83,5291980,0,1,56.5,57.62,55.82,55.83,5291980
2/26/2018,57.26,57.54,56.515,56.59,5875292,0,1,57.26,57.54,56.515,56.59,5875292
2/23/2018,55.35,57.14,55.07,57.05,6464332,0,1,55.35,57.14,55.07,57.05,6464332
2/22/2018,54.26,55.5,54.19,54.91,5532439,0,1,54.26,55.5,54.19,54.91,5532439
2/21/2018,54.59,55.44,53.73,53.75,5146520,0,1,54.59,55.44,53.73,53.75,5146520
2/20/2018,54.6,55.3,54.34,54.84,4068210,0,1,54.6,55.3,54.34,54.84,4068210
2/16/2018,54.39,55.06,54.23,54.65,4889746,0,1,54.39,55.06,54.23,54.65,4889746
2/15/2018,55.64,55.71,53.76,54.54,6083059,0,1,55.64,55.71,53.76,54.54,6083059
2/14/2018,52.7,55.86,52.54,55.51,6560068,0,1,52.7,55.86,52.54,55.51,6560068
2/13/2018,52.93,53.94,52.61,53.32,5291066,0,1,52.93,53.94,52.61,53.32,5291066
2/12/2018,52.63,53.96,52.55,53.41,7015191,0,1,52.63,53.96,52.55,53.41,7015191
2/9/2018,53.24,53.6,50.18,52.02,9667168,0,1,53.24,53.6,50.18,52.02,9667168
2/8/2018,55.62,55.8296,53.23,53.24,8589629,0,1,55.62,55.8296,53.23,53.24,8589629
2/7/2018,56.06,56.9701,55.63,55.63,7706788,0,1,56.06,56.9701,55.63,55.63,7706788
2/6/2018,54.75,56.54,54.42,55.94,10988340,0,1,54.75,56.54,54.42,55.94,10988340
2/5/2018,57.14,58.47,55.41,55.94,10979260,0,1,57.14,58.47,55.41,55.94,10979260
2/2/2018,59.17,59.44,57.61,57.72,8372637,0,1,59.17,59.44,57.61,57.72,8372637
2/1/2018,59,59.97,58.151,59.35,7009268,0,1,59,59.97,58.151,59.35,7009268
1/31/2018,58.53,59.24,58.28,58.81,7025978,0,1,58.53,59.24,58.28,58.81,7025978
1/30/2018,58.94,59.32,58.08,58.46,6325996,0,1,58.94,59.32,58.08,58.46,6325996
1/29/2018,59.92,60.53,59.56,59.66,3987680,0,1,59.92,60.53,59.56,59.66,3987680
1/26/2018,59.7,60.52,59.61,60.39,5148504,0,1,59.7,60.52,59.61,60.39,5148504
1/25/2018,60.75,60.9,59.4,59.48,5467102,0,1,60.75,60.9,59.4,59.48,5467102
1/24/2018,60.54,61.315,60.45,60.49,4879342,0,1,60.54,61.315,60.45,60.49,4879342
1/23/2018,60.61,60.7,60.03,60.47,5429213,0,1,60.61,60.7,60.03,60.47,5429213
1/22/2018,59.86,60.68,59.79,60.67,5701784,0,1,59.86,60.68,59.79,60.67,5701784
1/19/2018,59.68,59.81,59.27,59.75,5015267,0,1,59.68,59.81,59.27,59.75,5015267
1/18/2018,59.62,60.06,59.15,59.76,4372354,0,1,59.62,60.06,59.15,59.76,4372354
1/17/2018,58.97,60.187,58.78,59.86,5744307,0,1,58.97,60.187,58.78,59.86,5744307
1/16/2018,60,60.22,58.8,58.84,5447814,0,1,60,60.22,58.8,58.84,5447814
1/12/2018,59.39,60.24,59.12,60.05,6733775,0,1,59.39,60.24,59.12,60.05,6733775
