Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
3/27/2018,115.75,116.86,113.98,114.66,5130782,0,1,115.75,116.86,113.98,114.66,5130782
3/26/2018,114.24,115.585,113.25,115.35,5993539,0,1,114.24,115.585,113.25,115.35,5993539
3/23/2018,114.37,115.77,112.7,112.98,6092387,0,1,114.37,115.77,112.7,112.98,6092387
3/22/2018,115.55,115.74,113.48,113.7,6159114,0,1,115.55,115.74,113.48,113.7,6159114
3/21/2018,114.98,118.11,114.8,117.04,5793246,0,1,114.98,118.11,114.8,117.04,5793246
3/20/2018,114.55,115.7,114.435,114.5,4528695,0,1,114.55,115.7,114.435,114.5,4528695
3/19/2018,115.07,115.23,113.22,113.89,4764370,0,1,115.07,115.23,113.22,113.89,4764370
3/16/2018,115.4,116.19,114.561,115.4,13497514,0,1,115.4,116.19,114.561,115.4,13497514
3/15/2018,115.36,116.2101,114.75,115.58,4495022,0,1,115.36,116.2101,114.75,115.58,4495022
3/14/2018,116.98,117.45,114.86,115.13,4805249,0,1,116.98,117.45,114.86,115.13,4805249
3/13/2018,117.23,118.18,116,116.46,6654588,0,1,117.23,118.18,116,116.46,6654588
3/12/2018,117.5,118.35,116.56,116.79,6762387,0,1,117.5,118.35,116.56,116.79,6762387
3/9/2018,114.31,117.3901,114.24,117.22,8724188,0,1,114.31,117.3901,114.24,117.22,8724188
3/8/2018,114.6,114.745,112.6,113.35,5895492,0,1,114.6,114.745,112.6,113.35,5895492
3/7/2018,112.95,115.08,112.63,113.84,6660025,0,1,112.95,115.08,112.63,113.84,6660025
3/6/2018,113.85,115.52,113.02,113.65,7956950,0,1,113.85,115.52,113.02,113.65,7956950
3/5/2018,111.4,113.33,111.02,113.15,7814896,0,1,111.4,113.33,111.02,113.15,7814896
3/2/2018,111.5,112.18,109.83,111.64,6607334,0,1,111.5,112.18,109.83,111.64,6607334
3/1/2018,111.53,113.9001,110.97,112.04,7516691,0,1,111.53,113.9001,110.97,112.04,7516691
2/28/2018,115.02,115.4613,111.88,111.92,7294475,0,1,115.02,115.4613,111.88,111.92,7294475
2/27/2018,114.87,116.05,113.61,113.61,6025181,0,1,114.87,116.05,113.61,113.61,6025181
2/26/2018,113.18,114.66,112.85,114.6,7277865,0,1,113.18,114.66,112.85,114.6,7277865
2/23/2018,110.46,112.74,110.25,112.59,6252007,0,1,110.46,112.74,110.25,112.59,6252007
2/22/2018,109.55,111.44,108.9,109.89,7391045,0,1,109.55,111.44,108.9,109.89,7391045
2/21/2018,111.14,112.06,109.06,109.06,6746247,0,1,111.14,112.06,109.06,109.06,6746247
2/20/2018,112.28,112.76,110.58,110.98,6243484,0,1,112.28,112.76,110.58,110.98,6243484
2/16/2018,112.35,112.94,111.21,112.14,5933186,0,1,112.35,112.94,111.21,112.14,5933186
2/15/2018,112.86,113.02,110.84,112.53,5388555,0,1,112.86,113.02,110.84,112.53,5388555
2/14/2018,112.5,114.05,111.4,113.63,7003061,0,1,112.5,114.05,111.4,113.63,7003061
2/13/2018,113.34,113.605,111.8586,113.29,7024693,0,1,113.34,113.605,111.8586,113.29,7024693
2/12/2018,114.8,115.85,112.91,113.98,8341495,0,1,114.8,115.85,112.91,113.98,8341495
2/9/2018,113.34,114.62,109.5,113.5,10882835,0,1,113.34,114.62,109.5,113.5,10882835
2/8/2018,115.17,115.89,112.21,112.3,9795997,0,1,115.17,115.89,112.21,112.3,9795997
2/7/2018,117.4,119.27,115.23,115.29,11476136,0,1,117.4,119.27,115.23,115.29,11476136
2/6/2018,111.2,117.63,110.76,117.18,18319960,0,1,111.2,117.63,110.76,117.18,18319960
2/5/2018,116.99,118.3,108.02,112.62,15099531,0,1,116.99,118.3,108.02,112.62,15099531
2/2/2018,123.95,123.95,117.64,118.58,13045451,0,1,123.95,123.95,117.64,118.58,13045451
2/1/2018,125.6,125.63,124.06,125.57,7798376,0,1,125.6,125.63,124.06,125.57,7798376
1/31/2018,125.42,125.815,124.05,125.35,9373693,0,1,125.42,125.815,124.05,125.35,9373693
1/30/2018,127.61,128.01,125.19,125.23,7940368,0,1,127.61,128.01,125.19,125.23,7940368
