Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
3/27/2018,68.13,70.05,67.94,69.22,4280649,0,1,68.13,70.05,67.94,69.22,4280649
3/26/2018,67.52,68.19,67.39,68.1,3087757,0,1,67.52,68.19,67.39,68.1,3087757
3/23/2018,67.83,69.0114,67.17,67.3,4931394,0,1,67.83,69.0114,67.17,67.3,4931394
3/22/2018,67.57,68.67,67.32,67.87,6897165,0,1,67.57,68.67,67.32,67.87,6897165
3/21/2018,68.45,68.9,67.6099,67.64,5987134,0,1,68.45,68.9,67.6099,67.64,5987134
3/20/2018,68.84,69.36,68.22,68.45,5431599,0,1,68.84,69.36,68.22,68.45,5431599
3/19/2018,70.13,70.46,68.65,69.15,8208440,0,1,70.13,70.46,68.65,69.15,8208440
3/16/2018,70.76,70.96,69.94,70.61,11985938,0,1,70.76,70.96,69.94,70.61,11985938
3/15/2018,73.58,74.35,70.9142,71.24,8030844,0,1,73.58,74.35,70.9142,71.24,8030844
3/14/2018,73.15,73.6399,72.77,73.52,3357398,0,1,73.15,73.6399,72.77,73.52,3357398
3/13/2018,73.2,73.27,72.78,73,4071684,0,1,73.2,73.27,72.78,73,4071684
3/12/2018,72.88,73.305,72.74,72.97,4754263,0,1,72.88,73.305,72.74,72.97,4754263
3/9/2018,72.9,73.0199,72.42,72.87,4045451,0,1,72.9,73.0199,72.42,72.87,4045451
3/8/2018,72.5,73.045,72.38,72.83,4180914,0,1,72.5,73.045,72.38,72.83,4180914
3/7/2018,72.73,73.12,72.32,72.89,2368282,0,1,72.73,73.12,72.32,72.89,2368282
3/6/2018,73.58,73.71,72.74,72.92,2553808,0,1,73.58,73.71,72.74,72.92,2553808
3/5/2018,72.62,73.9,72.22,73.7,3391861,0,1,72.62,73.9,72.22,73.7,3391861
3/2/2018,72.37,73.15,71.91,72.5,3535832,0,1,72.37,73.15,71.91,72.5,3535832
3/1/2018,73.27,74.02,72.08,72.35,4832575,0.835,1,73.27,74.02,72.08,72.35,4832575
2/28/2018,74.6,75.27,74.03,74.07,4700886,0,1,74.6,75.27,74.03,74.07,4700886
2/27/2018,75.94,76.24,74.25,74.26,4095105,0,1,75.94,76.24,74.25,74.26,4095105
2/26/2018,75.65,76.16,75.4,75.99,2969461,0,1,75.65,76.16,75.4,75.99,2969461
2/23/2018,73.65,75.58,73.51,75.52,1997985,0,1,73.65,75.58,73.51,75.52,1997985
2/22/2018,73.8,74.34,73.36,73.58,2417225,0,1,73.8,74.34,73.36,73.58,2417225
2/21/2018,74.67,75.29,73.51,73.54,3785111,0,1,74.67,75.29,73.51,73.54,3785111
2/20/2018,75.51,75.81,74.39,74.75,4225056,0,1,75.51,75.81,74.39,74.75,4225056
2/16/2018,75.31,76,75.01,75.8,3496511,0,1,75.31,76,75.01,75.8,3496511
2/15/2018,74.48,75.42,74.19,75.42,3086401,0,1,74.48,75.42,74.19,75.42,3086401
2/14/2018,74.73,74.92,74.035,74.34,2883497,0,1,74.73,74.92,74.035,74.34,2883497
2/13/2018,75.005,75.5,74.17,75.07,3393995,0,1,75.005,75.5,74.17,75.07,3393995
2/12/2018,74.4,75.585,73.61,75.26,4411683,0,1,74.4,75.585,73.61,75.26,4411683
2/9/2018,73.42,75.048,73.05,74.38,4619250,0,1,73.42,75.048,73.05,74.38,4619250
2/8/2018,73.4,74.45,73.085,73.31,4040384,0,1,73.4,74.45,73.085,73.31,4040384
2/7/2018,73.98,74.85,73.4,73.76,4735676,0,1,73.98,74.85,73.4,73.76,4735676
2/6/2018,74.2,74.44,72.8,74.11,6710160,0,1,74.2,74.44,72.8,74.11,6710160
2/5/2018,75.65,76.65,74.6,74.69,4504744,0,1,75.65,76.65,74.6,74.69,4504744
2/2/2018,75.59,76.72,75.24,75.68,3285377,0,1,75.59,76.72,75.24,75.68,3285377
2/1/2018,76.46,76.59,75.19,75.9,4032211,0,1,76.46,76.59,75.19,75.9,4032211
1/31/2018,75.63,76.6,75.14,76.44,6897357,0,1,75.63,76.6,75.14,76.44,6897357
1/30/2018,74.72,75.92,74.7,75.32,4774693,0,1,74.72,75.92,74.7,75.32,4774693
1/29/2018,75.61,75.97,74.62,75.09,4634247,0,1,75.61,75.97,74.62,75.09,4634247
1/26/2018,76.54,76.76,75.11,75.5,5025430,0,1,76.54,76.76,75.11,75.5,5025430
1/25/2018,75.6,76.78,75.55,76.69,3720195,0,1,75.6,76.78,75.55,76.69,3720195
1/24/2018,75.67,76,75.31,75.56,5029103,0,1,75.67,76,75.31,75.56,5029103
1/23/2018,75,76.03,74.92,75.71,4982307,0,1,75,76.03,74.92,75.71,4982307
1/22/2018,75.01,75.58,74.765,74.89,4160018,0,1,75.01,75.58,74.765,74.89,4160018
1/19/2018,75.04,75.16,74.43,74.99,6327270,0,1,75.04,75.16,74.43,74.99,6327270
1/18/2018,75.52,75.61,74.32,74.89,6529220,0,1,75.52,75.61,74.32,74.89,6529220
1/17/2018,75.5,75.75,75.01,75.5,4969309,0,1,75.5,75.75,75.01,75.5,4969309
1/16/2018,76.11,76.34,75,75.27,9004437,0,1,76.11,76.34,75,75.27,9004437
1/12/2018,76.16,76.44,75.63,75.94,4341529,0,1,76.16,76.44,75.63,75.94,4341529
1/11/2018,76.59,76.9,75.95,76.21,3530645,0,1,76.59,76.9,75.95,76.21,3530645
1/10/2018,76.98,77.05,75.75,76.21,3963340,0,1,76.98,77.05,75.75,76.21,3963340
1/9/2018,78.05,78.15,77.085,77.21,3474199,0,1,78.05,78.15,77.085,77.21,3474199
1/8/2018,77.11,78.56,76.76,78.02,5539989,0,1,77.11,78.56,76.76,78.02,5539989
1/5/2018,77.4,77.7,76.43,76.84,5711996,0,1,77.4,77.7,76.43,76.84,5711996
1/4/2018,77.3,78.14,76.44,76.83,7083516,0,1,77.3,78.14,76.44,76.83,7083516
1/3/2018,77,78.45,76.25,77.19,14582085,0,1,77,78.45,76.25,77.19,14582085
1/2/2018,81.2,81.67,80.01,80.28,2111525,0,1,81.2,81.67,80.01,80.28,2111525
12/29/2017,81.26,81.61,80.89,81.06,3340844,0,1,81.26,81.61,80.89,81.06,3340844
12/28/2017,80.92,81.11,80.65,81.07,1338330,0,1,80.92,81.11,80.65,81.07,1338330
