Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
3/27/2018,75.99,77.69,75.77,77.1,3834897,0,1,75.99,77.69,75.77,77.1,3834897
3/26/2018,75.3,76.07,75.234,75.92,2702267,0,1,75.3,76.07,75.234,75.92,2702267
3/23/2018,76.52,76.92,75.03,75.17,3011861,0,1,76.52,76.92,75.03,75.17,3011861
3/22/2018,76.34,77.53,76.08,76.19,3592545,0,1,76.34,77.53,76.08,76.19,3592545
3/21/2018,76.43,77.22,75.84,76.18,4042914,0,1,76.43,77.22,75.84,76.18,4042914
3/20/2018,77.02,77.37,76.33,76.43,3863322,0,1,77.02,77.37,76.33,76.43,3863322
3/19/2018,77.8,77.87,76.7061,77.04,5458855,0,1,77.8,77.87,76.7061,77.04,5458855
3/16/2018,76.9,77.73,76.7362,77.59,6561970,0,1,76.9,77.73,76.7362,77.59,6561970
3/15/2018,76.87,77.63,76.29,76.74,4578654,0,1,76.87,77.63,76.29,76.74,4578654
3/14/2018,76.71,77.33,76.45,77,3787330,0,1,76.71,77.33,76.45,77,3787330
3/13/2018,76.9,77.33,76.1899,76.47,6310207,0,1,76.9,77.33,76.1899,76.47,6310207
3/12/2018,76.12,76.73,76.055,76.55,3580066,0,1,76.12,76.73,76.055,76.55,3580066
3/9/2018,75.9,76.15,75.52,76.13,3629195,0,1,75.9,76.15,75.52,76.13,3629195
3/8/2018,75.53,76.03,75.24,75.99,4164624,0,1,75.53,76.03,75.24,75.99,4164624
3/7/2018,75.41,75.7,74.925,75.25,9936928,0,1,75.41,75.7,74.925,75.25,9936928
3/6/2018,77.23,77.39,75.63,75.86,3654340,0,1,77.23,77.39,75.63,75.86,3654340
3/5/2018,75.22,77.67,74.87,77.49,3840629,0,1,75.22,77.67,74.87,77.49,3840629
3/2/2018,75.46,76.3,74.5797,75.35,3631350,0,1,75.46,76.3,74.5797,75.35,3631350
3/1/2018,75.35,76.82,75.16,75.56,3209749,0,1,75.35,76.82,75.16,75.56,3209749
2/28/2018,76.02,76.56,75.31,75.34,3269515,0,1,76.02,76.56,75.31,75.34,3269515
2/27/2018,77.88,78.29,76.33,76.33,4043575,0,1,77.88,78.29,76.33,76.33,4043575
2/26/2018,79.11,79.63,77.65,77.92,5225226,0,1,79.11,79.63,77.65,77.92,5225226
2/23/2018,75.45,77.3,75.38,77.22,2806047,0,1,75.45,77.3,75.38,77.22,2806047
2/22/2018,75.48,76.25,75.17,75.54,3103911,0,1,75.48,76.25,75.17,75.54,3103911
2/21/2018,75.58,76.5,75.3,75.33,4215180,0,1,75.58,76.5,75.3,75.33,4215180
2/20/2018,76.21,76.62,74.82,75.69,3875085,0,1,76.21,76.62,74.82,75.69,3875085
2/16/2018,76.07,76.89,75.77,76.7,3794068,0,1,76.07,76.89,75.77,76.7,3794068
2/15/2018,74.77,76.21,74.6601,76.2,3908793,0,1,74.77,76.21,74.6601,76.2,3908793
2/14/2018,76.62,76.66,75.45,75.48,4521744,0,1,76.62,76.66,75.45,75.48,4521744
2/13/2018,76.54,77.3,75.82,77.08,3805284,0,1,76.54,77.3,75.82,77.08,3805284
2/12/2018,76.12,77.25,75.66,76.81,4368195,0,1,76.12,77.25,75.66,76.81,4368195
2/9/2018,74.32,76.72,73.86,76.1,6300640,0,1,74.32,76.72,73.86,76.1,6300640
2/8/2018,74.09,75.87,73.8,74.32,6129484,0,1,74.09,75.87,73.8,74.32,6129484
2/7/2018,74.46,75.56,74.18,74.4,4832731,0,1,74.46,75.56,74.18,74.4,4832731
2/6/2018,75.15,75.25,72.93,74.49,7796870,0,1,75.15,75.25,72.93,74.49,7796870
2/5/2018,76.65,77.59,75.73,75.81,5750506,0,1,76.65,77.59,75.73,75.81,5750506
2/2/2018,76.82,77.73,76.43,76.53,4235793,0,1,76.82,77.73,76.43,76.53,4235793
2/1/2018,78.32,78.65,76.67,76.84,4318685,0,1,78.32,78.65,76.67,76.84,4318685
1/31/2018,77.78,78.58,77.25,78.5,3962785,0,1,77.78,78.58,77.25,78.5,3962785
1/30/2018,77.1,77.91,76.97,77.66,3915698,0,1,77.1,77.91,76.97,77.66,3915698
1/29/2018,78.55,78.57,77.17,77.29,4701359,0,1,78.55,78.57,77.17,77.29,4701359
1/26/2018,78.93,79.04,78.06,78.83,3721416,0,1,78.93,79.04,78.06,78.83,3721416
1/25/2018,77.23,79.22,77.2,78.9,4832745,0,1,77.23,79.22,77.2,78.9,4832745
1/24/2018,77.7,77.7338,77.21,77.24,3575574,0,1,77.7,77.7338,77.21,77.24,3575574
1/23/2018,77.75,78.45,77.24,77.71,3997070,0,1,77.75,78.45,77.24,77.71,3997070
1/22/2018,77.16,77.65,76.85,76.95,3612709,0,1,77.16,77.65,76.85,76.95,3612709
1/19/2018,77.47,77.82,76.64,76.82,4489746,0,1,77.47,77.82,76.64,76.82,4489746
1/18/2018,78.64,78.64,77.05,77.34,4668969,0,1,78.64,78.64,77.05,77.34,4668969
1/17/2018,78.36,78.7,77.62,78.41,4106181,0,1,78.36,78.7,77.62,78.41,4106181
1/16/2018,79.09,79.27,78.21,78.42,4365036,0,1,79.09,79.27,78.21,78.42,4365036
1/12/2018,79,79.6069,78.55,78.9,3201477,0,1,79,79.6069,78.55,78.9,3201477
1/11/2018,79.51,80.14,79,79.28,4078672,0,1,79.51,80.14,79,79.28,4078672
1/10/2018,80.78,80.95,79.9245,80.11,3220479,0,1,80.78,80.95,79.9245,80.11,3220479
1/9/2018,82.03,82.03,80.9586,81.24,2774462,0,1,82.03,82.03,80.9586,81.24,2774462
