Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
3/27/2018,107.46,107.91,105.49,106.33,5192844,0,1,107.46,107.91,105.49,106.33,5192844
3/26/2018,106.87,107.65,105.72,107.57,4802166,0,1,106.87,107.65,105.72,107.57,4802166
3/23/2018,104.75,106.73,104.7,105.86,6566304,0,1,104.75,106.73,104.7,105.86,6566304
3/22/2018,103.52,105.08,103.16,104.29,6672036,0,1,103.52,105.08,103.16,104.29,6672036
3/21/2018,101.72,105.83,101.64,104.78,4956889,0,1,101.72,105.83,101.64,104.78,4956889
3/20/2018,99.35,101.67,99.24,101.33,4534483,0,1,99.35,101.67,99.24,101.33,4534483
3/19/2018,99.88,100.4,97.44,98.47,2573566,0,1,99.88,100.4,97.44,98.47,2573566
3/16/2018,98.87,100.86,98.55,100.45,4744881,0,1,98.87,100.86,98.55,100.45,4744881
3/15/2018,100.39,100.72,98.18,98.65,3831114,0,1,100.39,100.72,98.18,98.65,3831114
3/14/2018,100.8,100.8989,99.64,99.89,1715767,0,1,100.8,100.8989,99.64,99.89,1715767
3/13/2018,101.37,101.77,99.68,100.05,3140639,0,1,101.37,101.77,99.68,100.05,3140639
3/12/2018,102.5,102.82,100.49,100.65,5163424,0,1,102.5,102.82,100.49,100.65,5163424
3/9/2018,101.58,102.9,101.28,102.8,2875153,0,1,101.58,102.9,101.28,102.8,2875153
3/8/2018,101.53,101.6,99.655,100.59,2359332,0,1,101.53,101.6,99.655,100.59,2359332
3/7/2018,99.98,101.1,99.33,100.87,3331365,0,1,99.98,101.1,99.33,100.87,3331365
3/6/2018,102.71,102.94,100.74,101.01,3420980,0,1,102.71,102.94,100.74,101.01,3420980
3/5/2018,100.91,102.76,100.4,101.81,3129484,0,1,100.91,102.76,100.4,101.81,3129484
3/2/2018,100.54,102.21,99.4,101.45,4040044,0,1,100.54,102.21,99.4,101.45,4040044
3/1/2018,101.79,102.11,99.84,101.18,4604948,0,1,101.79,102.11,99.84,101.18,4604948
2/28/2018,101.63,106.4,101.31,101.42,7714976,0,1,101.63,106.4,101.31,101.42,7714976
2/27/2018,109.28,109.53,106.74,106.94,3483330,0,1,109.28,109.53,106.74,106.94,3483330
2/26/2018,109.56,110.16,108.57,109.49,4466330,0,1,109.56,110.16,108.57,109.49,4466330
2/23/2018,107.73,108.88,107.33,108.83,2032207,0,1,107.73,108.88,107.33,108.83,2032207
2/22/2018,106.7,109.11,105.9401,107.09,3155089,0,1,106.7,109.11,105.9401,107.09,3155089
2/21/2018,107.65,108.74,105.78,105.81,4070826,0,1,107.65,108.74,105.78,105.81,4070826
2/20/2018,107.78,109.03,106.15,107.96,3129136,0,1,107.78,109.03,106.15,107.96,3129136
2/16/2018,107.14,108.74,106.6,107.64,2969785,0,1,107.14,108.74,106.6,107.64,2969785
2/15/2018,106.6,108.06,105.01,107.69,3488958,0,1,106.6,108.06,105.01,107.69,3488958
2/14/2018,101.58,107.06,101.5,106.76,4083122,0,1,101.58,107.06,101.5,106.76,4083122
2/13/2018,102.49,103.24,101.61,102.47,1730463,0,1,102.49,103.24,101.61,102.47,1730463
2/12/2018,101.54,104.03,101.33,103.14,3539844,0,1,101.54,104.03,101.33,103.14,3539844
2/9/2018,101.89,102.5999,96.54,100.07,5327386,0,1,101.89,102.5999,96.54,100.07,5327386
2/8/2018,106.02,106.5,100.98,101.04,4658949,0,1,106.02,106.5,100.98,101.04,4658949
2/7/2018,108.42,109.71,105.76,105.78,4655611,0,1,108.42,109.71,105.76,105.78,4655611
2/6/2018,107.76,110.9,106.09,108.27,4626604,0,1,107.76,110.9,106.09,108.27,4626604
2/5/2018,111.7,113.88,109,109.56,3103272,0,1,111.7,113.88,109,109.56,3103272
2/2/2018,115.01,115.19,112.41,112.83,2505006,0,1,115.01,115.19,112.41,112.83,2505006
2/1/2018,115.28,116.57,114.58,116.52,2507583,0,1,115.28,116.57,114.58,116.52,2507583
1/31/2018,115.32,115.73,114.43,115,2390443,0,1,115.32,115.73,114.43,115,2390443
1/30/2018,115.98,115.98,113.9,115.17,3562256,0,1,115.98,115.98,113.9,115.17,3562256
1/29/2018,117.12,118.13,116.42,116.58,1526419,0,1,117.12,118.13,116.42,116.58,1526419
1/26/2018,117.06,118.06,116.8,117.76,2108548,0,1,117.06,118.06,116.8,117.76,2108548
1/25/2018,118.92,119,117.03,117.45,2061229,0,1,118.92,119,117.03,117.45,2061229
1/24/2018,117.99,118.9,117.2,118.47,2435322,0,1,117.99,118.9,117.2,118.47,2435322
1/23/2018,117.05,118.6,116.88,117.84,3125649,0,1,117.05,118.6,116.88,117.84,3125649
1/22/2018,114.53,116.86,114.41,116.82,2228274,0,1,114.53,116.86,114.41,116.82,2228274
1/19/2018,113.95,114.76,113.47,114.37,2907492,0,1,113.95,114.76,113.47,114.37,2907492
1/18/2018,113.36,115.16,112.82,114.24,4449714,0,1,113.36,115.16,112.82,114.24,4449714
1/17/2018,113.71,114.35,112.14,113.53,3310413,0,1,113.71,114.35,112.14,113.53,3310413
1/16/2018,115.82,116.44,113.08,113.39,4828381,0,1,115.82,116.44,113.08,113.39,4828381
