Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
3/27/2018,127.11,129.1,126.39,127.21,7663114,0,1,127.11,129.1,126.39,127.21,7663114
3/26/2018,126.41,127.54,125.21,127.39,8282774,0,1,126.41,127.54,125.21,127.39,8282774
3/23/2018,127.63,127.87,124.9,125.1,8286607,0,1,127.63,127.87,124.9,125.1,8286607
3/22/2018,130.47,130.68,127.1,127.38,7532800,0,1,130.47,130.68,127.1,127.38,7532800
3/21/2018,131.4,132.78,130.66,131.19,5128176,0,1,131.4,132.78,130.66,131.19,5128176
3/20/2018,130.78,131.78,129.38,131.21,5858987,0,1,130.78,131.78,129.38,131.21,5858987
3/19/2018,133.35,133.47,129.36,130.24,5826044,0,1,133.35,133.47,129.36,130.24,5826044
3/16/2018,133.16,134.4,132.1,133.68,13809970,0,1,133.16,134.4,132.1,133.68,13809970
3/15/2018,132.55,134.24,132.47,133.06,4940860,0,1,132.55,134.24,132.47,133.06,4940860
3/14/2018,135.24,135.7,131.9,132.32,6309618,0,1,135.24,135.7,131.9,132.32,6309618
3/13/2018,133.8,135.39,133.45,134.35,9093637,0,1,133.8,135.39,133.45,134.35,9093637
3/12/2018,133.8,134.23,132.32,132.63,4885880,0,1,133.8,134.23,132.32,132.63,4885880
3/9/2018,132.51,133.82,131.56,133.8,6899702,0,1,132.51,133.82,131.56,133.8,6899702
3/8/2018,129.33,132.3,129.33,132.06,6293127,0,1,129.33,132.3,129.33,132.06,6293127
3/7/2018,127.48,129.33,127.27,129.04,6391661,0,1,127.48,129.33,127.27,129.04,6391661
3/6/2018,130,130.2,127.92,128.22,5543015,0,1,130,130.2,127.92,128.22,5543015
3/5/2018,128.63,130.3,128.18,129.79,5799799,0,1,128.63,130.3,128.18,129.79,5799799
3/2/2018,126.91,129.11,126.91,128.82,6910426,0,1,126.91,129.11,126.91,128.82,6910426
3/1/2018,129.11,130.12,126.52,127.28,9424007,0,1,129.11,130.12,126.52,127.28,9424007
2/28/2018,131.95,132.33,129.87,129.88,7898371,0,1,131.95,132.33,129.87,129.88,7898371
2/27/2018,132.21,133.09,131.6,131.67,7072577,0,1,132.21,133.09,131.6,131.67,7072577
2/26/2018,131.71,133.4055,131,132.07,6648513,0,1,131.71,133.4055,131,132.07,6648513
2/23/2018,130.09,132.08,130.02,132.02,4995038,0,1,130.09,132.08,130.02,132.02,4995038
2/22/2018,130.1,131.02,129.48,129.91,5719462,0,1,130.1,131.02,129.48,129.91,5719462
2/21/2018,130.8,132.4348,129.86,129.91,6254076,0,1,130.8,132.4348,129.86,129.91,6254076
2/20/2018,132.87,133.45,130.66,130.87,6508157,0,1,132.87,133.45,130.66,130.87,6508157
