Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
3/27/2018,111.07,111.69,107.3,108.17,17889027,0,1,111.07,111.69,107.3,108.17,17889027
3/26/2018,109.19,111.16,108.645,110.31,19970585,0,1,109.19,111.16,108.645,110.31,19970585
3/23/2018,110.27,110.92,106.76,107.01,22802836,0,1,110.27,110.92,106.76,107.01,22802836
3/22/2018,113.2,113.6,109.54,109.95,21841249,0,1,113.2,113.6,109.54,109.95,21841249
3/21/2018,114.81,116.63,114.21,114.74,13357632,0,1,114.81,116.63,114.21,114.74,13357632
3/20/2018,114.87,115.445,114.445,114.64,9795545,0,1,114.87,115.445,114.445,114.64,9795545
3/19/2018,115.1,115.45,113.3,114.53,11616894,0,1,115.1,115.45,113.3,114.53,11616894
3/16/2018,115.34,116.6015,115.34,115.44,19466307,0,1,115.34,116.6015,115.34,115.44,19466307
3/15/2018,115.87,116,114.83,115.24,8735890,0,1,115.87,116,114.83,115.24,8735890
3/14/2018,116.56,116.59,114.6,114.95,12889657,0,1,116.56,116.59,114.6,114.95,12889657
3/13/2018,118.2,118.47,115.83,116.25,13242100,0,1,118.2,118.47,115.83,116.25,13242100
3/12/2018,118,118.75,117.25,117.66,12031063,0,1,118,118.75,117.25,117.66,12031063
3/9/2018,116.55,118.08,115.67,118.04,14348484,0,1,116.55,118.08,115.67,118.04,14348484
3/8/2018,115.11,115.23,113.21,114.74,11006186,0,1,115.11,115.23,113.21,114.74,11006186
3/7/2018,113.75,115.1,113.11,114.73,13006514,0,1,113.75,115.1,113.11,114.73,13006514
3/6/2018,115.64,115.82,114.32,115.16,10657902,0,1,115.64,115.82,114.32,115.16,10657902
3/5/2018,112.05,115.925,111.89,115.06,13933039,0,1,112.05,115.925,111.89,115.06,13933039
3/2/2018,112.39,113.56,111.12,113.32,18353697,0,1,112.39,113.56,111.12,113.32,18353697
3/1/2018,115.48,116.6427,112.65,113.43,18690017,0,1,115.48,116.6427,112.65,113.43,18690017
2/28/2018,117.82,118.49,115.34,115.5,17420742,0,1,117.82,118.49,115.34,115.5,17420742
2/27/2018,118.91,119.33,117.35,117.36,17209324,0,1,118.91,119.33,117.35,117.36,17209324
2/26/2018,118.14,118.9,117.32,118.77,16288996,0,1,118.14,118.9,117.32,118.77,16288996
2/23/2018,115.31,117.39,115.31,117.31,11530334,0,1,115.31,117.39,115.31,117.31,11530334
2/22/2018,115.5,116.425,114.76,114.98,16948646,0,1,115.5,116.425,114.76,114.98,16948646
2/21/2018,115,117.45,114.67,115.19,14178550,0,1,115,117.45,114.67,115.19,14178550
2/20/2018,114.65,115.39,113.97,114.71,13081905,0,1,114.65,115.39,113.97,114.71,13081905
2/16/2018,114.55,116.07,114.5,114.68,13134927,0,1,114.55,116.07,114.5,114.68,13134927
2/15/2018,115.74,115.985,114.22,115.51,11861147,0,1,115.74,115.985,114.22,115.51,11861147
2/14/2018,112.63,115.27,112.53,115.03,15120013,0,1,112.63,115.27,112.53,115.03,15120013
2/13/2018,111.32,113.05,110.8,112.43,16058124,0,1,111.32,113.05,110.8,112.43,16058124
2/12/2018,111.17,112.725,110.07,111.74,17798897,0,1,111.17,112.725,110.07,111.74,17798897
2/9/2018,109.1,111.05,106.2299,110.04,28113646,0,1,109.1,111.05,106.2299,110.04,28113646
2/8/2018,113.11,113.11,107.84,107.88,26991043,0,1,113.11,113.11,107.84,107.88,26991043
2/7/2018,111.55,114.45,111.146,112.87,21667080,0,1,111.55,114.45,111.146,112.87,21667080
2/6/2018,106.85,112.48,106.61,112.11,32475810,0,1,106.85,112.48,106.61,112.11,32475810
2/5/2018,113,114.59,103.98,108.8,28870140,0,1,113,114.59,103.98,108.8,28870140
2/2/2018,116.49,116.92,114.09,114.28,16301339,0,1,116.49,116.92,114.09,114.28,16301339
2/1/2018,115.77,116.985,115.48,116.87,13683672,0,1,115.77,116.985,115.48,116.87,13683672
1/31/2018,115.65,116.66,115.16,115.67,13079792,0,1,115.65,116.66,115.16,115.67,13079792
1/30/2018,115.53,116.6,114.98,115.11,13876672,0,1,115.53,116.6,114.98,115.11,13876672
1/29/2018,116.02,117.3529,116.02,116.2,11012943,0,1,116.02,117.3529,116.02,116.2,11012943
1/26/2018,115.7,116.32,114.96,116.32,12008030,0,1,115.7,116.32,114.96,116.32,12008030
1/25/2018,116.04,116.17,115.075,115.7,12406626,0,1,116.04,116.17,115.075,115.7,12406626
1/24/2018,114.86,116,114.66,115.67,14736484,0,1,114.86,116,114.66,115.67,14736484
1/23/2018,113.67,114.64,113.35,114.21,11848690,0,1,113.67,114.64,113.35,114.21,11848690
1/22/2018,112.66,114.39,112.5,114.33,11904339,0,1,112.66,114.39,112.5,114.33,11904339
1/19/2018,113.94,114.34,112.804,113.01,18696398,0,1,113.94,114.34,112.804,113.01,18696398
1/18/2018,112.76,113.7226,112.27,113.26,14541044,0,1,112.76,113.7226,112.27,113.26,14541044
