Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
3/27/2018,76.09,76.6,75.139,75.66,3646955,0,1,76.09,76.6,75.139,75.66,3646955
3/26/2018,75.61,76.23,74.65,76.18,3477595,0,1,75.61,76.23,74.65,76.18,3477595
3/23/2018,76.77,76.83,74.51,74.76,4235868,0,1,76.77,76.83,74.51,74.76,4235868
3/22/2018,77.56,78.01,76.41,76.53,3695068,0,1,77.56,78.01,76.41,76.53,3695068
3/21/2018,78.46,79,78.031,78.24,2890292,0,1,78.46,79,78.031,78.24,2890292
3/20/2018,79.04,79.2,77.85,78.37,3795859,0,1,79.04,79.2,77.85,78.37,3795859
3/19/2018,80.12,80.2,78.16,78.73,4920102,0,1,80.12,80.2,78.16,78.73,4920102
3/16/2018,79.2,80.49,79.12,80.49,7789069,0,1,79.2,80.49,79.12,80.49,7789069
3/15/2018,78.58,79.86,78.46,78.75,3907052,0,1,78.58,79.86,78.46,78.75,3907052
3/14/2018,79.39,79.56,78.02,78.49,3147336,0,1,79.39,79.56,78.02,78.49,3147336
3/13/2018,79.08,79.87,78.77,79.15,4845613,0,1,79.08,79.87,78.77,79.15,4845613
3/12/2018,79.83,79.97,78.615,79.04,4763435,0,1,79.83,79.97,78.615,79.04,4763435
3/9/2018,79.28,79.96,78.88,79.61,4379955,0,1,79.28,79.96,78.88,79.61,4379955
3/8/2018,77.65,79.02,77.47,78.89,3428671,0,1,77.65,79.02,77.47,78.89,3428671
3/7/2018,76.58,77.61,76.54,77.44,2266515,0,1,76.58,77.61,76.54,77.44,2266515
3/6/2018,77.86,78,76.88,77.19,2963065,0,1,77.86,78,76.88,77.19,2963065
3/5/2018,76.9,78.08,76.71,77.7,3816634,0,1,76.9,78.08,76.71,77.7,3816634
3/2/2018,76.38,77.6,76.32,77.23,3216725,0,1,76.38,77.6,76.32,77.23,3216725
3/1/2018,77.06,77.37,75.53,76.5,6258351,0,1,77.06,77.37,75.53,76.5,6258351
2/28/2018,78.78,79.18,77.01,77.02,6107849,0,1,78.78,79.18,77.01,77.02,6107849
2/27/2018,80.15,80.21,78.69,78.7,4845627,0,1,80.15,80.21,78.69,78.7,4845627
2/26/2018,78.99,80.47,78.965,80.18,6009937,0,1,78.99,80.47,78.965,80.18,6009937
2/23/2018,77.73,78.86,77.64,78.75,5073426,0,1,77.73,78.86,77.64,78.75,5073426
2/22/2018,77.19,78.09,76.52,77.19,7600549,0,1,77.19,78.09,76.52,77.19,7600549
2/21/2018,77.59,78.75,77.55,77.55,3858817,0,1,77.59,78.75,77.55,77.55,3858817
2/20/2018,78.18,78.7,77.18,77.55,3138609,0,1,78.18,78.7,77.18,77.55,3138609
2/16/2018,77.95,79.65,77.91,78.97,4632565,0,1,77.95,79.65,77.91,78.97,4632565
2/15/2018,77.75,78.15,77.03,78.02,4799817,0,1,77.75,78.15,77.03,78.02,4799817
2/14/2018,75.41,77.19,75.34,77.03,4355100,0,1,75.41,77.19,75.34,77.03,4355100
2/13/2018,76.02,76.5899,75.75,76.21,4038884,0,1,76.02,76.5899,75.75,76.21,4038884
2/12/2018,76.68,77.1,75.2,76.25,6249291,0,1,76.68,77.1,75.2,76.25,6249291
2/9/2018,75.06,76.82,73.69,76.23,8923892,0,1,75.06,76.82,73.69,76.23,8923892
2/8/2018,77.19,77.65,74.19,74.21,8008796,0,1,77.19,77.65,74.19,74.21,8008796
2/7/2018,77.76,78.56,76.71,76.72,8208047,0,1,77.76,78.56,76.71,76.72,8208047
2/6/2018,76.56,79.11,75.71,77.99,10543403,0,1,76.56,79.11,75.71,77.99,10543403
2/5/2018,80.89,81.61,76.55,77.49,7835894,0,1,80.89,81.61,76.55,77.49,7835894
2/2/2018,81.88,83.03,81.12,81.18,5124392,0,1,81.88,83.03,81.12,81.18,5124392
