Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
3/27/2018,53.99,54.555,53.47,53.75,15152690,0,1,53.99,54.555,53.47,53.75,15152690
3/26/2018,54.05,54.155,52.97,54.04,9861191,0,1,54.05,54.155,52.97,54.04,9861191
3/23/2018,54.32,54.71,53.34,53.41,11663037,0,1,54.32,54.71,53.34,53.41,11663037
3/22/2018,54.24,54.98,54.025,54.12,12482558,0,1,54.24,54.98,54.025,54.12,12482558
3/21/2018,54.76,55.28,54.415,54.69,9976342,0,1,54.76,55.28,54.415,54.69,9976342
3/20/2018,54.75,54.94,54.36,54.64,7679412,0,1,54.75,54.94,54.36,54.64,7679412
3/19/2018,55.66,55.68,54.24,54.63,11194830,0,1,55.66,55.68,54.24,54.63,11194830
3/16/2018,55.19,55.8534,55.08,55.67,18165987,0,1,55.19,55.8534,55.08,55.67,18165987
3/15/2018,54.95,55.73,54.89,55.25,10045268,0,1,54.95,55.73,54.89,55.25,10045268
3/14/2018,55.27,55.425,54.31,54.8,11135370,0,1,55.27,55.425,54.31,54.8,11135370
3/13/2018,55.74,55.75,55,55.37,11644056,0,1,55.74,55.75,55,55.37,11644056
3/12/2018,55.73,56.13,55.2396,55.36,10732131,0,1,55.73,56.13,55.2396,55.36,10732131
3/9/2018,55.03,55.19,54.7,55.14,8797904,0,1,55.03,55.19,54.7,55.14,8797904
3/8/2018,54.52,54.82,54.355,54.76,7188444,0,1,54.52,54.82,54.355,54.76,7188444
3/7/2018,53.84,54.58,53.75,54.47,12230534,0,1,53.84,54.58,53.75,54.47,12230534
3/6/2018,54.49,54.71,53.82,54.3,9268388,0,1,54.49,54.71,53.82,54.3,9268388
3/5/2018,54.24,54.71,54.075,54.4,13114147,0,1,54.24,54.71,54.075,54.4,13114147
3/2/2018,53.48,54.43,53.12,54.36,8927182,0,1,53.48,54.43,53.12,54.36,8927182
3/1/2018,54.26,54.805,53.42,53.7,13023400,0,1,54.26,54.805,53.42,53.7,13023400
2/28/2018,55.06,55.17,54.21,54.22,11060645,0,1,55.06,55.17,54.21,54.22,11060645
2/27/2018,55.91,55.96,54.7,54.72,9148532,0,1,55.91,55.96,54.7,54.72,9148532
2/26/2018,55,56.19,55,56.06,11224094,0,1,55,56.19,55,56.06,11224094
2/23/2018,54.82,55,54.57,54.87,8894786,0,1,54.82,55,54.57,54.87,8894786
2/22/2018,54.6,55.065,54.42,54.57,10479150,0,1,54.6,55.065,54.42,54.57,10479150
2/21/2018,55.03,55.44,54.55,54.55,10284675,0,1,55.03,55.44,54.55,54.55,10284675
2/20/2018,56.12,56.14,54.95,54.98,13289220,0,1,56.12,56.14,54.95,54.98,13289220
2/16/2018,55.97,56.99,55.92,56.29,11607582,0,1,55.97,56.99,55.92,56.29,11607582
2/15/2018,55.43,55.99,54.83,55.99,10068974,0,1,55.43,55.99,54.83,55.99,10068974
2/14/2018,54.31,55.1,54.22,54.9,11388811,0,1,54.31,55.1,54.22,54.9,11388811
2/13/2018,55.23,55.37,54.77,54.9,17000853,0,1,55.23,55.37,54.77,54.9,17000853
2/12/2018,55.35,55.89,54.955,55.43,12488446,0,1,55.35,55.89,54.955,55.43,12488446
2/9/2018,55.15,55.41,53.36,54.87,18523151,0,1,55.15,55.41,53.36,54.87,18523151
2/8/2018,56.04,56.46,54.71,54.73,20751630,0,1,56.04,56.46,54.71,54.73,20751630
2/7/2018,55.17,56.71,55.09,55.88,13497823,0,1,55.17,56.71,55.09,55.88,13497823
2/6/2018,55.14,56.77,54.3348,55.46,30820448,0,1,55.14,56.77,54.3348,55.46,30820448
2/5/2018,58.27,58.95,55.82,56.4,19102323,0,1,58.27,58.95,55.82,56.4,19102323
2/2/2018,59.41,59.97,58.28,58.56,12180289,0,1,59.41,59.97,58.28,58.56,12180289
2/1/2018,59.17,60.34,59.07,59.86,13342323,0,1,59.17,60.34,59.07,59.86,13342323
1/31/2018,60.77,60.8,58.9,59.25,14768101,0,1,60.77,60.8,58.9,59.25,14768101
1/30/2018,60.79,61.25,60.44,60.65,12891028,0,1,60.79,61.25,60.44,60.65,12891028
1/29/2018,61.95,62.14,61.56,61.63,8514094,0,1,61.95,62.14,61.56,61.63,8514094
1/26/2018,61.49,62.08,61.34,62.04,9989533,0,1,61.49,62.08,61.34,62.04,9989533
1/25/2018,61.3,61.38,60.95,61.3,9397807,0,1,61.3,61.38,60.95,61.3,9397807
1/24/2018,62.01,62.11,60.96,61.18,10031637,0,1,62.01,62.11,60.96,61.18,10031637
1/23/2018,61.03,62.13,60.87,61.7,10327832,0,1,61.03,62.13,60.87,61.7,10327832
1/22/2018,60.95,61.44,60.72,61.25,11268247,0,1,60.95,61.44,60.72,61.25,11268247
1/19/2018,61.48,61.48,60.64,61.28,12007996,0,1,61.48,61.48,60.64,61.28,12007996
1/18/2018,62,62.12,60.625,61.13,19517416,0,1,62,62.12,60.625,61.13,19517416
1/17/2018,62.29,62.59,61.89,62.03,21118168,0,1,62.29,62.59,61.89,62.03,21118168
1/16/2018,61.75,63.78,61.25,62.07,48036986,0,1,61.75,63.78,61.25,62.07,48036986
1/12/2018,57.95,58.81,57.89,58.66,11760867,0,1,57.95,58.81,57.89,58.66,11760867
1/11/2018,57.3,57.61,57.16,57.6,7052718,0,1,57.3,57.61,57.16,57.6,7052718
1/10/2018,56.55,57.37,56.46,57.3,9028423,0,1,56.55,57.37,56.46,57.3,9028423
1/9/2018,56.81,57.1,56.57,56.8,10626048,0,1,56.81,57.1,56.57,56.8,10626048
1/8/2018,57.21,57.25,56.5,56.66,10504085,0,1,57.21,57.25,56.5,56.66,10504085
1/5/2018,57.39,57.39,56.59,56.99,9482639,0,1,57.39,57.39,56.59,56.99,9482639
1/4/2018,56.44,57.42,56.38,57.05,14991734,0,1,56.44,57.42,56.38,57.05,14991734
1/3/2018,56.23,56.26,55.96,56.14,10573680,0,1,56.23,56.26,55.96,56.14,10573680
1/2/2018,56.59,56.745,56.05,56.22,10048319,0,1,56.59,56.745,56.05,56.22,10048319
12/29/2017,56.83,56.99,56.27,56.27,8403394,0,1,56.83,56.99,56.27,56.27,8403394
12/28/2017,56.34,56.8,56.3,56.6,4848123,0,1,56.34,56.8,56.3,56.6,4848123
12/27/2017,56.39,56.625,56.26,56.34,5541590,0,1,56.39,56.625,56.26,56.34,5541590
12/26/2017,56.49,56.6,56.27,56.34,4404019,0,1,56.49,56.6,56.27,56.34,4404019
12/22/2017,56.54,56.83,56.13,56.36,7934596,0,1,56.54,56.83,56.13,56.36,7934596
12/21/2017,56.16,56.795,56.08,56.6,9891111,0,1,56.16,56.795,56.08,56.6,9891111
12/20/2017,56.38,56.49,55.98,56.11,13093292,0,1,56.38,56.49,55.98,56.11,13093292
12/19/2017,56.11,56.6158,56.01,56.23,9450195,0,1,56.11,56.6158,56.01,56.23,9450195
12/18/2017,56.32,56.69,56.2,56.22,11577605,0,1,56.32,56.69,56.2,56.22,11577605
12/15/2017,56.21,56.37,55.75,56.24,21240948,0,1,56.21,56.37,55.75,56.24,21240948
12/14/2017,56.6,56.738,55.955,56.01,10048156,0,1,56.6,56.738,55.955,56.01,10048156
12/13/2017,56.94,57.37,56.645,56.91,13171793,0,1,56.94,57.37,56.645,56.91,13171793
12/12/2017,56.87,57.17,56.63,57.07,13768582,0,1,56.87,57.17,56.63,57.07,13768582
12/11/2017,55.57,56.635,55.56,56.34,9742654,0,1,55.57,56.635,55.56,56.34,9742654
12/8/2017,55.12,55.57,54.66,55.57,10355778,0,1,55.12,55.57,54.66,55.57,10355778
12/7/2017,55.38,55.84,54.68,54.77,16451132,0,1,55.38,55.84,54.68,54.77,16451132
12/6/2017,55.55,55.93,54.185,54.35,20052785,0,1,55.55,55.93,54.185,54.35,20052785
12/5/2017,56.15,56.51,55.72,55.77,11828923,0,1,56.15,56.51,55.72,55.77,11828923
12/4/2017,55.93,56.71,55.87,56.22,12846770,0,1,55.93,56.71,55.87,56.22,12846770
12/1/2017,55.4,55.975,55.22,55.87,12083047,0,1,55.4,55.975,55.22,55.87,12083047
11/30/2017,55.42,55.89,55.03,55.27,14992345,0,1,55.42,55.89,55.03,55.27,14992345
11/29/2017,55.04,55.6546,54.93,55.36,10074221,0,1,55.04,55.6546,54.93,55.36,10074221
11/28/2017,54.93,55.125,54.41,54.93,12449992,0,1,54.93,55.125,54.41,54.93,12449992
11/27/2017,54.41,54.6,54.2,54.55,10051128,0,1,54.41,54.6,54.2,54.55,10051128
11/24/2017,54.5,54.63,54.11,54.35,4341296,0,1,54.5,54.63,54.11,54.35,4341296
11/22/2017,54.23,54.57,54.17,54.37,7374403,0,1,54.23,54.57,54.17,54.37,7374403
11/21/2017,54.36,54.85,54.18,54.27,13699103,0,1,54.36,54.85,54.18,54.27,13699103
11/20/2017,54.04,54.39,53.63,54.1,16886642,0,1,54.04,54.39,53.63,54.1,16886642
11/17/2017,55,55.43,54.75,55.2,9869660,0,1,55,55.43,54.75,55.2,9869660
11/16/2017,54.86,55.37,54.75,55.17,11982590,0,1,54.86,55.37,54.75,55.17,11982590
11/15/2017,54.76,55.1,54.4,54.8,11636283,0,1,54.76,55.1,54.4,54.8,11636283
11/14/2017,54.97,55.18,54.75,54.99,12563891,0,1,54.97,55.18,54.75,54.99,12563891
11/13/2017,55.31,55.52,55.06,55.1,13348712,0,1,55.31,55.52,55.06,55.1,13348712
11/10/2017,56.29,56.29,55.15,55.48,16135755,0,1,56.29,56.29,55.15,55.48,16135755
11/9/2017,56.55,56.66,55.615,56.21,14055011,0,1,56.55,56.66,55.615,56.21,14055011
11/7/2017,55.88,56.185,55.38,55.59,14183210,0,1,55.88,56.185,55.38,55.59,14183210
11/6/2017,56.04,56.175,55.6,55.88,8605235,0,1,56.04,56.175,55.6,55.88,8605235
11/3/2017,55.3,56.275,55.185,56.06,9799072,0,1,55.3,56.275,55.185,56.06,9799072
11/2/2017,55.48,55.57,55.035,55.37,12291530,0,1,55.48,55.57,55.035,55.37,12291530
11/1/2017,55.54,55.8,55.28,55.34,16077251,0,1,55.54,55.8,55.28,55.34,16077251
10/31/2017,55.17,55.79,55.03,55.09,18058377,0,1,55.17,55.79,55.03,55.09,18058377
10/30/2017,55.75,56.05,54.41,54.71,38479047,0,1,55.75,56.05,54.41,54.71,38479047
10/27/2017,60.55,60.55,57.82,58.24,28974238,0,1,60.55,60.55,57.82,58.24,28974238
10/26/2017,62.29,62.69,61.805,61.99,10501228,0,1,62.29,62.69,61.805,61.99,10501228
10/25/2017,63.1,63.125,62.33,62.455,8955320,0,1,63.1,63.125,62.33,62.455,8955320
10/24/2017,63.31,63.31,62.365,63.11,10037074,0,1,63.31,63.31,62.365,63.11,10037074
10/23/2017,64.03,64.52,63.3,63.4,11551528,0,1,64.03,64.52,63.3,63.4,11551528
10/20/2017,63.85,63.99,63.57,63.88,10237421,0,1,63.85,63.99,63.57,63.88,10237421
10/19/2017,63.64,64.03,63.59,63.75,9148340,0,1,63.64,64.03,63.59,63.75,9148340
10/18/2017,64.09,64.11,63.41,63.51,7836003,0,1,64.09,64.11,63.41,63.51,7836003
10/17/2017,63.21,63.31,62.88,63.22,6920903,0,1,63.21,63.31,62.88,63.22,6920903
10/16/2017,63.49,63.73,63.26,63.34,7442626,0,1,63.49,63.73,63.26,63.34,7442626
10/13/2017,63.95,64.1649,63.38,63.39,7245416,0,1,63.95,64.1649,63.38,63.39,7245416
10/12/2017,63.79,63.98,63.555,63.83,5977650,0,1,63.79,63.98,63.555,63.83,5977650
10/11/2017,64.34,64.34,63.52,63.78,9893452,0,1,64.34,64.34,63.52,63.78,9893452
10/10/2017,64.31,64.475,64.195,64.46,4914017,0,1,64.31,64.475,64.195,64.46,4914017
10/9/2017,64.67,64.74,64.12,64.33,5442261,0,1,64.67,64.74,64.12,64.33,5442261
10/6/2017,64.7,64.9,64.37,64.55,6785589,0,1,64.7,64.9,64.37,64.55,6785589
10/5/2017,64.42,64.795,64.33,64.6,8842820,0,1,64.42,64.795,64.33,64.6,8842820
10/4/2017,64.42,64.62,64.33,64.6,6337610,0,1,64.42,64.62,64.33,64.6,6337610
10/3/2017,64.55,64.5789,63.78,64.37,6493480,0,1,64.55,64.5789,63.78,64.37,6493480
10/2/2017,64.21,64.68,63.89,64.55,6105156,0,1,64.21,64.68,63.89,64.55,6105156
9/29/2017,64.29,64.53,63.33,64.03,11412426,0,1,64.29,64.53,63.33,64.03,11412426
9/28/2017,64.27,64.66,64.17,64.29,6992210,0,1,64.27,64.66,64.17,64.29,6992210
9/27/2017,64.68,64.75,64.32,64.57,6586716,0,1,64.68,64.75,64.32,64.57,6586716
9/26/2017,65.1,65.32,64.72,64.76,5793974,0,1,65.1,65.32,64.72,64.76,5793974
9/25/2017,65.16,65.4,65.04,65.18,5471183,0,1,65.16,65.4,65.04,65.18,5471183
9/22/2017,65.63,65.7,65.065,65.13,7378603,0,1,65.63,65.7,65.065,65.13,7378603
9/21/2017,65.85,65.93,65.52,65.6,5876566,0,1,65.85,65.93,65.52,65.6,5876566
9/20/2017,66.07,66.31,65.19,65.79,9263753,0,1,66.07,66.31,65.19,65.79,9263753
