Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
3/27/2018,161.75,164.41,161,162.59,2200844,0,1,161.75,164.41,161,162.59,2200844
3/26/2018,160.03,162.07,159.885,161.43,1729627,0,1,160.03,162.07,159.885,161.43,1729627
3/23/2018,161.98,163.58,159.19,159.49,3040311,0,1,161.98,163.58,159.19,159.49,3040311
3/22/2018,160.31,164.25,159.8,161.89,3416191,0,1,160.31,164.25,159.8,161.89,3416191
3/21/2018,160.42,161.96,159.67,160.08,1346610,0,1,160.42,161.96,159.67,160.08,1346610
3/20/2018,160.1,160.73,159.51,160.42,1587038,0,1,160.1,160.73,159.51,160.42,1587038
3/19/2018,161.04,161.69,158.8,159.93,2353904,0,1,161.04,161.69,158.8,159.93,2353904
3/16/2018,158.42,161.68,158.26,161.04,7860709,0,1,158.42,161.68,158.26,161.04,7860709
3/15/2018,158,159.08,156.9,158.14,2312532,0,1,158,159.08,156.9,158.14,2312532
3/14/2018,156.1,158.44,156.04,158.01,3059889,0,1,156.1,158.44,156.04,158.01,3059889
3/13/2018,155.22,156.39,154.03,154.67,1621854,0,1,155.22,156.39,154.03,154.67,1621854
3/12/2018,154.7,154.99,153.54,154.39,1905966,0,1,154.7,154.99,153.54,154.39,1905966
3/9/2018,154.35,154.89,153.28,154.81,1607098,0,1,154.35,154.89,153.28,154.81,1607098
3/8/2018,153.57,154.675,152.935,154.31,1423451,0,1,153.57,154.675,152.935,154.31,1423451
3/7/2018,152.74,153.69,152.06,153.05,2075994,0,1,152.74,153.69,152.06,153.05,2075994
3/6/2018,154.58,155.58,152.85,153.26,2626219,0,1,154.58,155.58,152.85,153.26,2626219
3/5/2018,152.7,155.23,152.07,155.02,1717715,0,1,152.7,155.23,152.07,155.02,1717715
3/2/2018,153.2,154.58,151.34,152.85,2174202,0,1,153.2,154.58,151.34,152.85,2174202
3/1/2018,152.7,154.38,151.98,153.23,3078851,0,1,152.7,154.38,151.98,153.23,3078851
2/28/2018,152.33,153.51,151.76,152.15,2712222,0,1,152.33,153.51,151.76,152.15,2712222
2/27/2018,154.72,155.47,151.68,151.68,2033853,0,1,154.72,155.47,151.68,151.68,2033853
2/26/2018,155.74,156.3247,154.13,154.65,1928703,0,1,155.74,156.3247,154.13,154.65,1928703
2/23/2018,152.48,156.65,152.38,156.26,1797386,0,1,152.48,156.65,152.38,156.26,1797386
2/22/2018,152.51,153.49,151.32,152.31,1408611,0,1,152.51,153.49,151.32,152.31,1408611
2/21/2018,153.81,155.1863,151.6,151.76,2131520,0,1,153.81,155.1863,151.6,151.76,2131520
2/20/2018,155.58,156.11,153.24,153.81,1941528,0,1,155.58,156.11,153.24,153.81,1941528
2/16/2018,154.67,156.56,153.58,156.05,1632966,0,1,154.67,156.56,153.58,156.05,1632966
2/15/2018,150.23,154.44,149.84,154.43,2158729,0,1,150.23,154.44,149.84,154.43,2158729
2/14/2018,150.08,151.53,148.79,150.08,1542604,0,1,150.08,151.53,148.79,150.08,1542604
2/13/2018,149.78,151.82,148.25,151.07,1576970,0,1,149.78,151.82,148.25,151.07,1576970
2/12/2018,148.22,151.15,146.86,150,2022052,0,1,148.22,151.15,146.86,150,2022052
2/9/2018,145.98,149.15,145.1023,148.1,2265942,0,1,145.98,149.15,145.1023,148.1,2265942
2/8/2018,147.68,149.1135,145.27,145.29,2383998,0,1,147.68,149.1135,145.27,145.29,2383998
2/7/2018,149.61,150.68,147.89,148.09,2782190,0,1,149.61,150.68,147.89,148.09,2782190
2/6/2018,151.83,153.36,147.15,149.56,4222453,0,1,151.83,153.36,147.15,149.56,4222453
2/5/2018,156.04,158.28,153.85,154.29,3600731,0,1,156.04,158.28,153.85,154.29,3600731
2/2/2018,155.48,157.42,155.079,155.92,2314193,0,1,155.48,157.42,155.079,155.92,2314193
2/1/2018,158.61,159.64,155.67,156.34,2185375,0,1,158.61,159.64,155.67,156.34,2185375
1/31/2018,155.23,158.78,154.62,158.42,3184373,0,1,155.23,158.78,154.62,158.42,3184373
1/30/2018,155.5,156.48,154.29,155.1,1936336,0,1,155.5,156.48,154.29,155.1,1936336
1/29/2018,157.2,157.3,155.49,155.68,2372039,0,1,157.2,157.3,155.49,155.68,2372039
1/26/2018,154.86,159.23,154.7,157.69,3428459,0,1,154.86,159.23,154.7,157.69,3428459
1/25/2018,150.83,153.35,150,153.09,2426686,0,1,150.83,153.35,150,153.09,2426686
1/24/2018,151.93,152.23,150.08,150.85,1955116,0,1,151.93,152.23,150.08,150.85,1955116
1/23/2018,150,153.1,150,152.72,2424888,0,1,150,153.1,150,152.72,2424888
1/22/2018,150.46,151.3,149.6,150.02,1857300,0,1,150.46,151.3,149.6,150.02,1857300
1/19/2018,151.08,151.27,149.94,150.16,2242502,0,1,151.08,151.27,149.94,150.16,2242502
1/18/2018,152.06,152.06,150.22,150.78,1927519,0,1,152.06,152.06,150.22,150.78,1927519
1/17/2018,150.95,152.75,150.58,151.88,2300223,0,1,150.95,152.75,150.58,151.88,2300223
1/16/2018,150.44,151.08,149.07,150.54,1846563,0,1,150.44,151.08,149.07,150.54,1846563
1/12/2018,150.13,151.47,149.26,150.32,1596575,0,1,150.13,151.47,149.26,150.32,1596575
1/11/2018,150.5,151.1,149.77,150.5,1885188,0,1,150.5,151.1,149.77,150.5,1885188
1/10/2018,150.89,151.61,150.16,150.59,1569256,0,1,150.89,151.61,150.16,150.59,1569256
1/9/2018,153.55,153.55,151.305,151.84,1628904,0,1,153.55,153.55,151.305,151.84,1628904
1/8/2018,151.71,153.24,151.51,152.96,1802229,0,1,151.71,153.24,151.51,152.96,1802229
1/5/2018,151.38,151.94,150.6,151.71,2577970,0,1,151.38,151.94,150.6,151.71,2577970
1/4/2018,151.51,153.03,150.63,151.02,3333521,0,1,151.51,153.03,150.63,151.02,3333521
1/3/2018,154.09,155.83,151.78,151.8,2748866,0,1,154.09,155.83,151.78,151.8,2748866
1/2/2018,156.43,156.67,154.42,155.09,1191579,0,1,156.43,156.67,154.42,155.09,1191579
12/29/2017,156.85,157.28,156.01,156.19,1181531,0,1,156.85,157.28,156.01,156.19,1181531
12/28/2017,155.2,156.42,155.15,156.35,842738,0,1,155.2,156.42,155.15,156.35,842738
12/27/2017,154.63,155.35,154.12,155.29,1062614,0,1,154.63,155.35,154.12,155.29,1062614
12/26/2017,154.7,155.35,153.99,154,671074,0,1,154.7,155.35,153.99,154,671074
12/22/2017,154.96,155.37,154.3,154.54,1077386,0,1,154.96,155.37,154.3,154.54,1077386
12/21/2017,153.4,155.27,152.68,154.48,1774100,0,1,153.4,155.27,152.68,154.48,1774100
12/20/2017,154.17,155.34,153.49,153.64,2209667,0,1,154.17,155.34,153.49,153.64,2209667
12/19/2017,156.61,156.99,154.04,154.1,1562358,0,1,156.61,156.99,154.04,154.1,1562358
12/18/2017,158.81,159.165,156.11,156.35,1925257,0,1,158.81,159.165,156.11,156.35,1925257
12/15/2017,157.96,159.04,157.23,158.43,3314655,0,1,157.96,159.04,157.23,158.43,3314655
12/14/2017,156.815,159.24,155.57,157.98,2225565,0,1,156.815,159.24,155.57,157.98,2225565
12/13/2017,157.63,158.04,155.8001,156.47,3530960,0,1,157.63,158.04,155.8001,156.47,3530960
12/12/2017,158.84,159.4,156.82,157.07,1988409,0,1,158.84,159.4,156.82,157.07,1988409
12/11/2017,159.04,159.35,157.44,159.25,1603152,0,1,159.04,159.35,157.44,159.25,1603152
12/8/2017,157.79,159.03,157.39,159.03,1303051,0,1,157.79,159.03,157.39,159.03,1303051
12/7/2017,157.35,158.18,157.01,158.18,1451119,0,1,157.35,158.18,157.01,158.18,1451119
12/6/2017,156.52,158.37,155.79,157.78,1950104,0,1,156.52,158.37,155.79,157.78,1950104
12/5/2017,156.43,156.83,154.45,155.64,1664165,0,1,156.43,156.83,154.45,155.64,1664165
12/4/2017,157.65,157.96,155.52,155.97,1396720,0,1,157.65,157.96,155.52,155.97,1396720
12/1/2017,158.39,159.19,156.43,157.47,1375419,0,1,158.39,159.19,156.43,157.47,1375419
11/30/2017,158.09,158.88,157.37,158.04,3349904,0,1,158.09,158.88,157.37,158.04,3349904
11/29/2017,157.3,158.29,156.5,157.77,1754775,0,1,157.3,158.29,156.5,157.77,1754775
11/28/2017,157.5,158.395,157.07,157.79,1177243,0,1,157.5,158.395,157.07,157.79,1177243
11/27/2017,156.25,157.56,155.91,157,1481212,0,1,156.25,157.56,155.91,157,1481212
11/24/2017,155.6,156.4,155.48,156.03,636127,0,1,155.6,156.4,155.48,156.03,636127
11/22/2017,155.23,155.95,154.56,155.18,1943421,0,1,155.23,155.95,154.56,155.18,1943421
11/21/2017,156.49,156.89,155.76,156.21,1331319,0,1,156.49,156.89,155.76,156.21,1331319
11/20/2017,156.21,156.67,155.31,155.92,1446919,0,1,156.21,156.67,155.31,155.92,1446919
11/17/2017,157,157.285,155.8917,156.04,1076421,0,1,157,157.285,155.8917,156.04,1076421
11/16/2017,157.4,157.71,156.35,157.29,1361034,0,1,157.4,157.71,156.35,157.29,1361034
11/15/2017,158.85,159.28,157.03,157.36,1320817,0,1,158.85,159.28,157.03,157.36,1320817
11/14/2017,156.51,158.55,156.25,158.4,1506149,0,1,156.51,158.55,156.25,158.4,1506149
11/13/2017,155.34,157,154.84,156.78,997652,0,1,155.34,157,154.84,156.78,997652
11/10/2017,154.58,155.42,153.85,155.16,1285822,0,1,154.58,155.42,153.85,155.16,1285822
11/9/2017,154.34,155.61,154.1003,155.25,1171629,0,1,154.34,155.61,154.1003,155.25,1171629
11/7/2017,152.33,155.82,151.92,155.49,1963827,0,1,152.33,155.82,151.92,155.49,1963827
11/6/2017,152.9,153.13,151.65,151.86,1402781,0,1,152.9,153.13,151.65,151.86,1402781
11/3/2017,149.74,153.15,149.5,152.65,3084368,0,1,149.74,153.15,149.5,152.65,3084368
11/2/2017,153.49,154.75,148.37,149.86,3973375,0,1,153.49,154.75,148.37,149.86,3973375
11/1/2017,155.67,155.72,153.09,153.38,1434933,0,1,155.67,155.72,153.09,153.38,1434933
10/31/2017,155.09,155.56,154.31,155.07,1319035,0,1,155.09,155.56,154.31,155.07,1319035
10/30/2017,155.31,156.19,154.89,155.36,1353365,0,1,155.31,156.19,154.89,155.36,1353365
10/27/2017,153.39,156.8,153.38,155.84,1451836,0,1,153.39,156.8,153.38,155.84,1451836
10/26/2017,154.8,156,153.36,153.39,1473471,0,1,154.8,156,153.36,153.39,1473471
10/25/2017,153.94,154.19,151.36,153.925,1648607,0,1,153.94,154.19,151.36,153.925,1648607
10/24/2017,154.12,154.4,153.19,154.22,1405653,0,1,154.12,154.4,153.19,154.22,1405653
10/23/2017,153.98,154.7,153.33,154.38,1217435,0,1,153.98,154.7,153.33,154.38,1217435
10/20/2017,153.74,154.24,152.98,154.16,1436518,0,1,153.74,154.24,152.98,154.16,1436518
10/19/2017,152.67,153.95,152.2,153.87,1269552,0,1,152.67,153.95,152.2,153.87,1269552
