Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
3/27/2018,67.32,67.62,65.435,65.82,5348254,0,1,67.32,67.62,65.435,65.82,5348254
3/26/2018,66.22,67.28,65.93,67.2,3878232,0,1,66.22,67.28,65.93,67.2,3878232
3/23/2018,66,67.38,65.365,65.49,6209372,0,1,66,67.38,65.365,65.49,6209372
3/22/2018,65.31,65.98,64.99,65.18,6318781,0,1,65.31,65.98,64.99,65.18,6318781
3/21/2018,64.24,66.51,64.21,66.04,4759479,0,1,64.24,66.51,64.21,66.04,4759479
3/20/2018,63.9,64.73,63.61,63.91,4858582,0,1,63.9,64.73,63.61,63.91,4858582
3/19/2018,64.07,64.21,63.128,63.65,4635714,0,1,64.07,64.21,63.128,63.65,4635714
3/16/2018,64,64.47,63.63,64.45,6096556,0,1,64,64.47,63.63,64.45,6096556
3/15/2018,64.34,64.66,63.21,63.91,3213532,0,1,64.34,64.66,63.21,63.91,3213532
3/14/2018,64.54,64.81,63.93,64.04,3435609,0,1,64.54,64.81,63.93,64.04,3435609
3/13/2018,64.18,64.93,63.92,64.2,4829483,0,1,64.18,64.93,63.92,64.2,4829483
3/12/2018,63.75,64.54,63.5,63.89,7820087,0,1,63.75,64.54,63.5,63.89,7820087
3/9/2018,63.39,63.76,63.1,63.67,10990436,0,1,63.39,63.76,63.1,63.67,10990436
3/8/2018,64.39,64.55,62.47,62.96,9334887,0,1,64.39,64.55,62.47,62.96,9334887
3/7/2018,65.12,65.705,64.2,65.19,4694166,0,1,64.33320571,64.91113761,63.42432136,64.40235996,4694166
3/6/2018,66.45,66.51,65.56,65.66,4435259,0,1,65.64713636,65.70641142,64.76788953,64.86668131,4435259
3/5/2018,65.17,66.38,65.01,65.92,4746913,0,1,64.3826016,65.57798211,64.22453476,65.12353993,4746913
3/2/2018,65.12,65.85,64.24,65.64,3752456,0,1,64.33320571,65.05438569,63.46383807,64.84692296,3752456
3/1/2018,65.7,66.39,65.08,65.63,5519323,0,1,64.90619802,65.58786129,64.293689,64.83704378,5519323
2/28/2018,67.25,67.39,65.59,65.6,5094816,0,1,67.25,67.39,65.59,65.6,5094816
2/27/2018,67.61,67.98,66.75,66.75,6006524,0,1,67.61,67.98,66.75,66.75,6006524
2/26/2018,68.36,68.42,67.15,67.27,6956748,0,1,68.36,68.42,67.15,67.27,6956748
2/23/2018,68.34,68.85,67.72,68.32,3822383,0,1,68.34,68.85,67.72,68.32,3822383
2/22/2018,67.82,68.81,67.36,67.92,3770944,0,1,67.82,68.81,67.36,67.92,3770944
2/21/2018,67.99,68.7,67.19,67.21,5017677,0,1,67.99,68.7,67.19,67.21,5017677
2/20/2018,68.88,68.88,67.81,67.99,4976814,0,1,68.88,68.88,67.81,67.99,4976814
2/16/2018,69.21,69.41,68.07,68.16,5586428,0,1,69.21,69.41,68.07,68.16,5586428
2/15/2018,69.95,70.05,67.69,69.43,4994179,0,1,69.95,70.05,67.69,69.43,4994179
2/14/2018,66.62,70.2,66.6,69.85,7987291,0,1,66.62,70.2,66.6,69.85,7987291
2/13/2018,69.21,70.17,69.12,69.72,4512041,0,1,69.21,70.17,69.12,69.72,4512041
2/12/2018,68.89,70.53,68.89,69.87,3933929,0,1,68.89,70.53,68.89,69.87,3933929
2/9/2018,69.04,69.41,65.7128,68.18,5428872,0,1,69.04,69.41,65.7128,68.18,5428872
2/8/2018,69.99,70.16,68.47,68.47,6906075,0,1,69.99,70.16,68.47,68.47,6906075
2/7/2018,71.48,72.2,69.85,69.87,5615483,0,1,71.48,72.2,69.85,69.87,5615483
2/6/2018,69.77,71.66,69.4,71.22,5580204,0,1,69.77,71.66,69.4,71.22,5580204
2/5/2018,72.99,73.87,70.05,70.91,5421857,0,1,72.99,73.87,70.05,70.91,5421857
2/2/2018,75.2,75.2,73.35,73.58,5260566,0,1,75.2,75.2,73.35,73.58,5260566
2/1/2018,75.02,76.28,74.99,76.1,3127569,0,1,75.02,76.28,74.99,76.1,3127569
1/31/2018,74.86,75.25,74.22,74.97,4597781,0,1,74.86,75.25,74.22,74.97,4597781
1/30/2018,75.48,76.04,74.68,74.76,4291136,0,1,75.48,76.04,74.68,74.76,4291136
