Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
3/27/2018,35.18,35.56,34.78,35.01,25418639,0,1,35.18,35.56,34.78,35.01,25418639
3/26/2018,34.93,35.15,34.32,35.04,23464967,0,1,34.93,35.15,34.32,35.04,23464967
3/23/2018,35.49,35.5,34.44,34.49,27489780,0,1,35.49,35.5,34.44,34.49,27489780
3/22/2018,36.03,36.1433,35.47,35.6,20288017,0,1,36.03,36.1433,35.47,35.6,20288017
3/21/2018,36.49,36.73,36.2,36.27,16405382,0,1,36.49,36.73,36.2,36.27,16405382
3/20/2018,36.37,36.55,36.115,36.33,19094992,0,1,36.37,36.55,36.115,36.33,19094992
3/19/2018,36.8,36.8,36.08,36.33,18678983,0,1,36.8,36.8,36.08,36.33,18678983
3/16/2018,36.64,37.04,36.62,36.78,29161305,0,1,36.64,37.04,36.62,36.78,29161305
3/15/2018,36.35,36.81,36.35,36.58,19263194,0,1,36.35,36.81,36.35,36.58,19263194
3/14/2018,36.84,36.99,36.18,36.35,22144053,0,1,36.84,36.99,36.18,36.35,22144053
3/13/2018,36.8,36.96,36.43,36.75,26463445,0,1,36.8,36.96,36.43,36.75,26463445
3/12/2018,36.92,37,36.5,36.61,24945436,0,1,36.92,37,36.5,36.61,24945436
3/9/2018,36.61,36.92,36.53,36.77,17885052,0,1,36.61,36.92,36.53,36.77,17885052
3/8/2018,35.99,36.5,35.93,36.5,19416679,0,1,35.99,36.5,35.93,36.5,19416679
3/7/2018,35.6,36.08,35.55,35.93,22239404,0,1,35.6,36.08,35.55,35.93,22239404
3/6/2018,36.24,36.24,35.75,35.88,17077142,0,1,36.24,36.24,35.75,35.88,17077142
3/5/2018,35.82,36.28,35.77,36.12,21176053,0,1,35.82,36.28,35.77,36.12,21176053
3/2/2018,35.55,36.07,35.4,35.95,21130333,0,1,35.55,36.07,35.4,35.95,21130333
3/1/2018,36.12,36.2693,35.195,35.63,28731400,0,1,36.12,36.2693,35.195,35.63,28731400
2/28/2018,37.03,37.28,36.31,36.31,26246531,0,1,37.03,37.28,36.31,36.31,26246531
2/27/2018,37.07,37.235,36.74,36.8,22255522,0,1,37.07,37.235,36.74,36.8,22255522
2/26/2018,36.29,37.21,36.21,37.09,23105652,0,1,36.29,37.21,36.21,37.09,23105652
2/23/2018,35.93,36.3,35.83,36.26,15998170,0,1,35.93,36.3,35.83,36.26,15998170
2/22/2018,35.87,36.15,35.61,35.74,21847539,0,1,35.87,36.15,35.61,35.74,21847539
2/21/2018,35.97,36.59,35.73,35.76,23958191,0,1,35.97,36.59,35.73,35.76,23958191
2/20/2018,36.02,36.4927,35.88,36.01,25618984,0,1,36.02,36.4927,35.88,36.01,25618984
2/16/2018,35.76,36.66,35.68,36.26,25666834,0,1,35.76,36.66,35.68,36.26,25666834
2/15/2018,35.37,35.73,35.08,35.71,21310022,0,1,35.37,35.73,35.08,35.71,21310022
2/14/2018,34.7,35.34,34.56,35.19,23190882,0,1,34.7,35.34,34.56,35.19,23190882
2/13/2018,34.57,35.03,34.41,34.94,19710952,0,1,34.57,35.03,34.41,34.94,19710952
2/12/2018,34.45,34.87,34.0285,34.66,36529559,0,1,34.45,34.87,34.0285,34.66,36529559
2/9/2018,34.19,34.43,33.2,34.16,47199889,0,1,34.19,34.43,33.2,34.16,47199889
2/8/2018,35,35.17,33.6,33.63,43297480,0,1,35,35.17,33.6,33.63,43297480
2/7/2018,35.13,35.65,34.97,34.98,29258017,0,1,35.13,35.65,34.97,34.98,29258017
2/6/2018,34.16,35.475,34,35.28,53075673,0,1,34.16,35.475,34,35.28,53075673
2/5/2018,36.48,36.7,34,34.67,38582968,0,1,36.48,36.7,34,34.67,38582968
2/2/2018,36.6,37.25,36.51,36.61,24115126,0,1,36.6,37.25,36.51,36.61,24115126
2/1/2018,36.61,37.395,36.61,36.83,28156287,0,1,36.61,37.395,36.61,36.83,28156287
1/31/2018,37.92,37.99,36.83,37.04,33557634,0,1,37.92,37.99,36.83,37.04,33557634
1/30/2018,38.21,38.75,37.35,37.8,45536133,0,1,38.21,38.75,37.35,37.8,45536133
1/29/2018,39,39.43,38.77,39.02,34129581,0,1,39,39.43,38.77,39.02,34129581
1/26/2018,37.3,39.09,37.3,39.01,47945259,0,1,37.3,39.09,37.3,39.01,47945259
1/25/2018,36.97,37.34,36.9,37.23,18004402,0,1,36.97,37.34,36.9,37.23,18004402
1/24/2018,36.99,37.0701,36.731,36.93,17552493,0,1,36.99,37.0701,36.731,36.93,17552493
1/23/2018,36.82,37.08,36.54,36.82,17330718,0,1,36.82,37.08,36.54,36.82,17330718
1/22/2018,36.89,37.07,36.73,36.93,19334682,0,1,36.89,37.07,36.73,36.93,19334682
1/19/2018,37.19,37.28,36.5,36.94,29393623,0,1,37.19,37.28,36.5,36.94,29393623
1/18/2018,37.17,37.17,36.7,36.99,18037384,0,1,37.17,37.17,36.7,36.99,18037384
1/17/2018,36.82,37.37,36.765,37.18,24002568,0,1,36.82,37.37,36.765,37.18,24002568
1/16/2018,36.57,36.98,36.47,36.6,28958631,0,1,36.57,36.98,36.47,36.6,28958631
1/12/2018,36.63,36.8,36.46,36.54,19179718,0,1,36.63,36.8,36.46,36.54,19179718
1/11/2018,36.64,36.7,36.42,36.56,14311784,0,1,36.64,36.7,36.42,36.56,14311784
1/10/2018,36.34,36.61,36.31,36.47,17771542,0,1,36.34,36.61,36.31,36.47,17771542
1/9/2018,36.44,36.637,36.36,36.41,15983207,0,1,36.44,36.637,36.36,36.41,15983207
1/8/2018,36.72,36.8,36.33,36.45,18908870,0,1,36.72,36.8,36.33,36.45,18908870
1/5/2018,36.82,36.88,36.61,36.86,12380571,0,1,36.82,36.88,36.61,36.86,12380571
1/4/2018,36.71,36.915,36.6,36.79,12350187,0,1,36.71,36.915,36.6,36.79,12350187
1/3/2018,36.45,36.77,36.23,36.71,13453369,0,1,36.45,36.77,36.23,36.71,13453369
1/2/2018,36.38,36.515,36.24,36.44,14503068,0,1,36.38,36.515,36.24,36.44,14503068
12/29/2017,36.23,36.49,36.22,36.22,11337557,0,1,36.23,36.49,36.22,36.22,11337557
12/28/2017,36.36,36.53,36.25,36.37,6574788,0,1,36.36,36.53,36.25,36.37,6574788
12/27/2017,36.31,36.46,36.23,36.33,8132093,0,1,36.31,36.46,36.23,36.33,8132093
12/26/2017,36.09,36.27,35.95,36.21,10885234,0,1,36.09,36.27,35.95,36.21,10885234
12/22/2017,36.26,36.38,36.05,36.14,8575461,0,1,36.26,36.38,36.05,36.14,8575461
12/21/2017,36.585,36.6,36.19,36.24,14577781,0,1,36.585,36.6,36.19,36.24,14577781
12/20/2017,36.98,37.14,36.425,36.46,14288514,0,1,36.98,37.14,36.425,36.46,14288514
12/19/2017,37.17,37.23,36.88,36.94,13816019,0,1,37.17,37.23,36.88,36.94,13816019
12/18/2017,37.16,37.35,37.06,37.13,16602604,0,1,37.16,37.35,37.06,37.13,16602604
12/15/2017,36.81,37.225,36.71,37.2,35613216,0,1,36.81,37.225,36.71,37.2,35613216
12/14/2017,36.66,36.89,36.34,36.46,14603725,0,1,36.66,36.89,36.34,36.46,14603725
12/13/2017,36.57,36.8,36.47,36.64,15678542,0,1,36.57,36.8,36.47,36.64,15678542
