Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
3/27/2018,153.92,154.19,148.06,149.18,2868636,0,1,153.92,154.19,148.06,149.18,2868636
3/26/2018,150,153.34,149,153.01,2356732,0,1,150,153.34,149,153.01,2356732
3/23/2018,153.78,154.26,146.91,147.24,2944517,0,1,153.78,154.26,146.91,147.24,2944517
3/22/2018,156.94,157.7434,152.79,153.28,2583544,0,1,156.94,157.7434,152.79,153.28,2583544
3/21/2018,159.17,160.94,158.49,158.89,1398049,0,1,159.17,160.94,158.49,158.89,1398049
3/20/2018,160.17,160.7,158.78,158.85,1420893,0,1,160.17,160.7,158.78,158.85,1420893
3/19/2018,159.65,160.33,158.04,159.43,1717024,0,1,159.65,160.33,158.04,159.43,1717024
3/16/2018,158.54,160.96,158.16,160.07,4463124,0,1,158.54,160.96,158.16,160.07,4463124
3/15/2018,158.63,158.77,156.79,157.87,1863916,0,1,158.63,158.77,156.79,157.87,1863916
3/14/2018,161.21,161.79,157.56,158.09,1914030,0,1,161.21,161.79,157.56,158.09,1914030
3/13/2018,162.96,163,159.85,160.49,1572882,0,1,162.96,163,159.85,160.49,1572882
3/12/2018,162.51,162.99,161.507,162.26,1542346,0,1,162.51,162.99,161.507,162.26,1542346
3/9/2018,161,162.8,160.185,162.45,1622792,0,1,161,162.8,160.185,162.45,1622792
3/8/2018,159.96,160.39,157.38,159.49,1329680,0,1,159.96,160.39,157.38,159.49,1329680
3/7/2018,157.31,160.08,157.01,159.64,1425829,0,1,157.31,160.08,157.01,159.64,1425829
3/6/2018,159.04,159.85,157.2,159.34,1299783,0,1,159.04,159.85,157.2,159.34,1299783
3/5/2018,155.85,159.66,154.961,158.71,1749133,0,1,155.85,159.66,154.961,158.71,1749133
3/2/2018,155.26,157.82,153.8194,157.43,1949245,0,1,155.26,157.82,153.8194,157.43,1949245
3/1/2018,157.66,159.0087,155.7,155.99,2604277,0,1,157.66,159.0087,155.7,155.99,2604277
2/28/2018,160.83,162.04,157.59,157.66,2053556,0,1,160.83,162.04,157.59,157.66,2053556
2/27/2018,161.76,163.585,160.22,160.23,2086538,0,1,161.76,163.585,160.22,160.23,2086538
2/26/2018,160.73,161.9,159.43,161.83,1595120,0,1,160.73,161.9,159.43,161.83,1595120
2/23/2018,158.14,160.15,157.605,160.09,1510393,0,1,158.14,160.15,157.605,160.09,1510393
2/22/2018,161.73,162.8,157.25,157.6,2379840,0,1,161.73,162.8,157.25,157.6,2379840
2/21/2018,158.69,163.24,158.69,161.28,2542597,0,1,158.69,163.24,158.69,161.28,2542597
2/20/2018,158.63,160.77,158.24,159.13,1654595,0,1,158.63,160.77,158.24,159.13,1654595
2/16/2018,158.91,160.81,158.3,159.08,2132704,0,1,158.91,160.81,158.3,159.08,2132704
2/15/2018,159.46,160.32,158.67,159.86,2140227,0,1,159.46,160.32,158.67,159.86,2140227
2/14/2018,152.84,158.7,152.84,158.27,2204963,0,1,152.84,158.7,152.84,158.27,2204963
2/13/2018,151.04,153.53,151.005,153.29,2115833,0,1,151.04,153.53,151.005,153.29,2115833
2/12/2018,152.8,154.29,151.17,152.28,2358916,0,1,152.8,154.29,151.17,152.28,2358916
2/9/2018,150.98,153,147.17,151.71,2685591,0,1,150.98,153,147.17,151.71,2685591
2/8/2018,155.05,155.83,149.38,149.38,2933565,0,1,155.05,155.83,149.38,149.38,2933565
2/7/2018,153.75,156.87,153.39,155,2495035,0,1,153.75,156.87,153.39,155,2495035
2/6/2018,147.02,154.76,146.34,154.29,4576851,0,1,147.02,154.76,146.34,154.29,4576851
2/5/2018,156.18,157.74,149.3,150.32,4599054,0,1,156.18,157.74,149.3,150.32,4599054
2/2/2018,158.66,159.44,157.37,157.97,2624093,0,1,158.66,159.44,157.37,157.97,2624093
2/1/2018,157.41,159.84,157.1,159.15,2016445,0,1,157.41,159.84,157.1,159.15,2016445
1/31/2018,158.4,159.43,157.43,158.02,1911830,0,1,158.4,159.43,157.43,158.02,1911830
1/30/2018,158.25,159.42,157.14,157.9,2332212,0,1,158.25,159.42,157.14,157.9,2332212
1/29/2018,158.45,160.07,158.4,159.21,1637011,0,1,158.45,160.07,158.4,159.21,1637011
1/26/2018,158.02,158.75,157.08,158.66,1709350,0,1,158.02,158.75,157.08,158.66,1709350
1/25/2018,158.35,158.69,157.35,157.8,1780502,0,1,158.35,158.69,157.35,157.8,1780502
1/24/2018,155.69,158.27,155.69,157.74,1815428,0,1,155.69,158.27,155.69,157.74,1815428
1/23/2018,154.6,156.51,154.33,155.77,2267901,0,1,154.6,156.51,154.33,155.77,2267901
1/22/2018,155.12,155.72,154.31,155.72,1838049,0,1,155.12,155.72,154.31,155.72,1838049
1/19/2018,154.36,156.149,154.1,155.25,2660203,0,1,154.36,156.149,154.1,155.25,2660203
1/18/2018,153.7,154.89,152.94,153.71,2392031,0,1,153.7,154.89,152.94,153.71,2392031
1/17/2018,152.99,154.9288,151.84,154.23,2737604,0,1,152.99,154.9288,151.84,154.23,2737604
