Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
3/27/2018,43.82,44.88,43.68,44.53,6227768,0,1,43.82,44.88,43.68,44.53,6227768
3/26/2018,43.19,43.905,43.07,43.82,6633110,0,1,43.19,43.905,43.07,43.82,6633110
3/23/2018,43.93,44.18,43.02,43.11,5424117,0,1,43.93,44.18,43.02,43.11,5424117
3/22/2018,43.9,44.615,43.795,43.81,7887718,0,1,43.9,44.615,43.795,43.81,7887718
3/21/2018,43.9,44.46,43.7936,43.9,4496087,0,1,43.9,44.46,43.7936,43.9,4496087
3/20/2018,44.19,44.39,43.71,43.85,4294373,0,1,44.19,44.39,43.71,43.85,4294373
3/19/2018,44.2,44.63,43.94,44.17,6026329,0,1,44.2,44.63,43.94,44.17,6026329
3/16/2018,43.92,44.29,43.84,44.19,9092906,0,1,43.92,44.29,43.84,44.19,9092906
3/15/2018,44,44.475,43.8,43.93,4796458,0,1,44,44.475,43.8,43.93,4796458
3/14/2018,43.68,44.235,43.66,44.05,4017906,0,1,43.68,44.235,43.66,44.05,4017906
3/13/2018,43.86,44.08,43.47,43.59,6187010,0,1,43.86,44.08,43.47,43.59,6187010
3/12/2018,43.62,43.89,43.485,43.82,5335856,0,1,43.62,43.89,43.485,43.82,5335856
3/9/2018,43.44,43.76,43.31,43.76,5334162,0,1,43.44,43.76,43.31,43.76,5334162
3/8/2018,43.7,43.94,43.35,43.41,5894515,0,1,43.7,43.94,43.35,43.41,5894515
3/7/2018,44.07,44.24,43.47,43.67,6400406,0,1,44.07,44.24,43.47,43.67,6400406
3/6/2018,44.9,44.9,44.02,44.1,6078879,0,1,44.9,44.9,44.02,44.1,6078879
3/5/2018,44.12,45.1,44.04,44.84,10168230,0,1,44.12,45.1,44.04,44.84,10168230
3/2/2018,43.98,44.67,43.58,44.2,8117433,0,1,43.98,44.67,43.58,44.2,8117433
3/1/2018,43.08,44.22,43.08,43.98,9698336,0,1,43.08,44.22,43.08,43.98,9698336
2/28/2018,43.44,43.54,42.93,43.06,7481730,0,1,43.44,43.54,42.93,43.06,7481730
2/27/2018,44.01,44.32,43.4,43.4,6698042,0,1,44.01,44.32,43.4,43.4,6698042
2/26/2018,44.29,44.5,43.86,44.03,6768757,0,1,44.29,44.5,43.86,44.03,6768757
2/23/2018,43.02,44.22,42.99,44.07,5606682,0,1,43.02,44.22,42.99,44.07,5606682
2/22/2018,42.92,43.43,42.38,43.02,7067880,0,1,42.92,43.43,42.38,43.02,7067880
2/21/2018,43.58,43.851,42.91,42.92,8567759,0,1,43.58,43.851,42.91,42.92,8567759
2/20/2018,43.74,43.9201,43.19,43.47,8348671,0,1,43.74,43.9201,43.19,43.47,8348671
