Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
3/27/2018,31.85,31.9,27.88,28.07,79821992,0,1,31.85,31.9,27.88,28.07,79821992
3/26/2018,31.69,32.47,30.7,31.91,25477813,0,1,31.69,32.47,30.7,31.91,25477813
3/23/2018,31.26,32,30.7907,31.03,24478532,0,1,31.26,32,30.7907,31.03,24478532
3/22/2018,31.77,32.13,31.175,31.2,29284239,0,1,31.77,32.13,31.175,31.2,29284239
3/21/2018,32.19,33.15,32.05,32.73,43359002,0,1,32.19,33.15,32.05,32.73,43359002
3/20/2018,34.92,34.95,30.61,31.35,82222740,0,1,34.92,34.95,30.61,31.35,82222740
3/19/2018,35.13,35.74,34.41,34.98,22116551,0,1,35.13,35.74,34.41,34.98,22116551
3/16/2018,36,36.2,35.52,35.58,13747877,0,1,36,36.2,35.52,35.58,13747877
3/15/2018,36.41,36.48,35.4,35.8,20921849,0,1,36.41,36.48,35.4,35.8,20921849
3/14/2018,34.3,36.8,34.09,36.6,39409327,0,1,34.3,36.8,34.09,36.6,39409327
3/13/2018,35.4,35.53,33.9,34.11,21967251,0,1,35.4,35.53,33.9,34.11,21967251
3/12/2018,35.53,35.73,34.83,35.5,20963776,0,1,35.53,35.73,34.83,35.5,20963776
3/9/2018,35.2,35.5,34.9367,35.35,18513795,0,1,35.2,35.5,34.9367,35.35,18513795
3/8/2018,35.42,35.84,34.68,34.85,24764968,0,1,35.42,35.84,34.68,34.85,24764968
3/7/2018,33.99,35.82,33.99,35.76,33656143,0,1,33.99,35.82,33.99,35.76,33656143
3/6/2018,34.58,34.95,33.86,34.43,22592276,0,1,34.58,34.95,33.86,34.43,22592276
3/5/2018,32.9,34.95,32.58,34.58,34839998,0,1,32.9,34.95,32.58,34.58,34839998
3/2/2018,31.93,33.03,31.49,33,24918891,0,1,31.93,33.03,31.49,33,24918891
3/1/2018,31.95,32.56,31.26,32.24,25032477,0,1,31.95,32.56,31.26,32.24,25032477
2/28/2018,31.5,32.85,31.47,31.86,24101591,0,1,31.5,32.85,31.47,31.86,24101591
2/27/2018,31.91,32.21,31.26,31.32,16464903,0,1,31.91,32.21,31.26,31.32,16464903
2/26/2018,32.7,32.7,31.96,32.16,15742166,0,1,32.7,32.7,31.96,32.16,15742166
2/23/2018,32.2,32.69,31.97,32.66,17252683,0,1,32.2,32.69,31.97,32.66,17252683
2/22/2018,33.43,33.45,31.63,32.11,29128051,0,1,33.43,33.45,31.63,32.11,29128051
2/21/2018,33.03,34.055,32.6472,33.38,29431220,0,1,33.03,34.055,32.6472,33.38,29431220
2/20/2018,32.88,33.57,32.68,32.84,22677763,0,1,32.88,33.57,32.68,32.84,22677763
2/16/2018,33.37,33.5,32.68,33.06,27626996,0,1,33.37,33.5,32.68,33.06,27626996
2/15/2018,34.03,34.38,33.0599,33.61,31921343,0,1,34.03,34.38,33.0599,33.61,31921343
2/14/2018,32.85,33.98,32.55,33.75,38842195,0,1,32.85,33.98,32.55,33.75,38842195
2/13/2018,30.67,33.65,30.64,33.44,56959420,0,1,30.67,33.65,30.64,33.44,56959420
2/12/2018,31.44,31.9,30.8631,30.95,36913354,0,1,31.44,31.9,30.8631,30.95,36913354
2/9/2018,30.37,31.805,29.68,31.51,67006066,0,1,30.37,31.805,29.68,31.51,67006066
2/8/2018,34.15,35,29.71,30.18,161821748,0,1,34.15,35,29.71,30.18,161821748
2/7/2018,25.83,27.08,25.76,26.91,48572861,0,1,25.83,27.08,25.76,26.91,48572861
2/6/2018,24.59,25.58,24.2,25.24,26117878,0,1,24.59,25.58,24.2,25.24,26117878
2/5/2018,25.37,26.64,24.1,25.13,33745296,0,1,25.37,26.64,24.1,25.13,33745296
2/2/2018,26.56,27.0301,25.7,25.92,32315154,0,1,26.56,27.0301,25.7,25.92,32315154
2/1/2018,25.52,27.33,25.44,27.14,47326941,0,1,25.52,27.33,25.44,27.14,47326941
1/31/2018,25.61,26.65,25.14,25.81,40154779,0,1,25.61,26.65,25.14,25.81,40154779
1/30/2018,24.83,26.4,24.55,25.62,52270833,0,1,24.83,26.4,24.55,25.62,52270833
1/29/2018,24.4,25.55,24.1,25.18,52035231,0,1,24.4,25.55,24.1,25.18,52035231
1/26/2018,22.39,24.35,22.3,24.27,49416442,0,1,22.39,24.35,22.3,24.27,49416442
1/25/2018,22.5,22.68,22.04,22.16,15478961,0,1,22.5,22.68,22.04,22.16,15478961
1/24/2018,22.84,23.05,22.1,22.37,23163255,0,1,22.84,23.05,22.1,22.37,23163255
1/23/2018,22.51,23.1691,22.41,22.75,35200644,0,1,22.51,23.1691,22.41,22.75,35200644
1/22/2018,23.17,23.5,22.86,23.32,22903732,0,1,23.17,23.5,22.86,23.32,22903732
1/19/2018,24.12,24.22,23.5,23.66,16989849,0,1,24.12,24.22,23.5,23.66,16989849
1/18/2018,24.5,24.52,23.72,24.04,21011188,0,1,24.5,24.52,23.72,24.04,21011188
1/17/2018,24.84,24.95,24.22,24.56,17006557,0,1,24.84,24.95,24.22,24.56,17006557
1/16/2018,25.58,25.7089,24.51,24.66,32285575,0,1,25.58,25.7089,24.51,24.66,32285575
1/12/2018,24.94,25.85,24.93,25.41,36973010,0,1,24.94,25.85,24.93,25.41,36973010
1/11/2018,24.3,24.37,23.9,24.35,11597393,0,1,24.3,24.37,23.9,24.35,11597393
1/10/2018,24,24.42,23.76,24.25,10395506,0,1,24,24.42,23.76,24.25,10395506
1/9/2018,24.63,24.71,24.07,24.17,12550142,0,1,24.63,24.71,24.07,24.17,12550142
1/8/2018,24.37,24.78,23.88,24.59,17803434,0,1,24.37,24.78,23.88,24.59,17803434
1/5/2018,24.07,24.57,23.88,24.32,14934356,0,1,24.07,24.57,23.88,24.32,14934356
1/4/2018,24.5,24.59,23.685,23.99,17620709,0,1,24.5,24.59,23.685,23.99,17620709
1/3/2018,24.56,24.68,24.07,24.45,12792471,0,1,24.56,24.68,24.07,24.45,12792471
1/2/2018,24.07,24.57,23.85,24.51,15283036,0,1,24.07,24.57,23.85,24.51,15283036
12/29/2017,24.27,24.33,23.91,24.01,10312418,0,1,24.27,24.33,23.91,24.01,10312418
12/28/2017,24.25,24.6,24.17,24.31,9759331,0,1,24.25,24.6,24.17,24.31,9759331
12/27/2017,24.26,24.54,24.07,24.23,9015570,0,1,24.26,24.54,24.07,24.23,9015570
12/26/2017,24.26,24.57,24.13,24.26,10107838,0,1,24.26,24.57,24.13,24.26,10107838
12/22/2017,24.98,25.27,24.38,24.46,16054912,0,1,24.98,25.27,24.38,24.46,16054912
12/21/2017,25.055,25.56,24.7,25.05,19337488,0,1,25.055,25.56,24.7,25.05,19337488
12/20/2017,25.26,25.44,24.69,25.2,20644534,0,1,25.26,25.44,24.69,25.2,20644534
12/19/2017,24.59,25.49,23.92,25.08,45981251,0,1,24.59,25.49,23.92,25.08,45981251
12/18/2017,23.24,24.74,23.13,24.68,48506629,0,1,23.24,24.74,23.13,24.68,48506629
12/15/2017,22.61,22.86,22.185,22.23,17844982,0,1,22.61,22.86,22.185,22.23,17844982
12/14/2017,21.74,23.24,21.62,22.58,33978766,0,1,21.74,23.24,21.62,22.58,33978766
12/13/2017,21.77,21.98,21.52,21.66,14689951,0,1,21.77,21.98,21.52,21.66,14689951
12/12/2017,22.01,22.25,21.625,21.65,14269697,0,1,22.01,22.25,21.625,21.65,14269697
12/11/2017,21.1,22.2,21.1,22.05,17218025,0,1,21.1,22.2,21.1,22.05,17218025
12/8/2017,21.15,21.4,20.95,21.1,14865480,0,1,21.15,21.4,20.95,21.1,14865480
12/7/2017,21.12,21.45,20.97,21.01,11830847,0,1,21.12,21.45,20.97,21.01,11830847
12/6/2017,20.52,21.4,20.4,21.09,14010802,0,1,20.52,21.4,20.4,21.09,14010802
12/5/2017,20.3,20.93,20.3,20.77,10631297,0,1,20.3,20.93,20.3,20.77,10631297
12/4/2017,20.85,20.94,20.225,20.4,11627352,0,1,20.85,20.94,20.225,20.4,11627352
12/1/2017,20.52,20.98,20.12,20.71,15216287,0,1,20.52,20.98,20.12,20.71,15216287
11/30/2017,21.01,21.12,20.51,20.58,14341906,0,1,21.01,21.12,20.51,20.58,14341906
11/29/2017,21.82,22.11,20.52,20.79,23550105,0,1,21.82,22.11,20.52,20.79,23550105
11/28/2017,21.85,22.15,21.56,21.83,13813538,0,1,21.85,22.15,21.56,21.83,13813538
11/27/2017,22.36,22.4,21.7,21.82,19655728,0,1,22.36,22.4,21.7,21.82,19655728
11/24/2017,22.4,22.48,22.17,22.42,7584013,0,1,22.4,22.48,22.17,22.42,7584013
11/22/2017,21.9,22.4,21.8,22.27,21132706,0,1,21.9,22.4,21.8,22.27,21132706
11/21/2017,21.2,21.91,21.15,21.88,18197705,0,1,21.2,21.91,21.15,21.88,18197705
11/20/2017,20.78,21.26,20.7,21.13,16787347,0,1,20.78,21.26,20.7,21.13,16787347
11/17/2017,20.26,20.79,20.25,20.76,12780387,0,1,20.26,20.79,20.25,20.76,12780387
11/16/2017,20.06,20.49,19.985,20.36,12929376,0,1,20.06,20.49,19.985,20.36,12929376
11/15/2017,19.82,20.33,19.73,19.91,11177366,0,1,19.82,20.33,19.73,19.91,11177366
11/14/2017,20.17,20.445,19.88,20.05,11905891,0,1,20.17,20.445,19.88,20.05,11905891
11/13/2017,20.16,20.305,19.93,20.17,11706254,0,1,20.16,20.305,19.93,20.17,11706254
11/10/2017,19.79,20.58,19.74,20.32,16019995,0,1,19.79,20.58,19.74,20.32,16019995
11/9/2017,19.4,20.24,19.36,19.9,20244957,0,1,19.4,20.24,19.36,19.9,20244957
11/7/2017,19.55,20.18,19.51,19.66,22147504,0,1,19.55,20.18,19.51,19.66,22147504
11/6/2017,19.78,19.85,19.26,19.39,24893040,0,1,19.78,19.85,19.26,19.39,24893040
11/3/2017,19.87,20.24,19.52,19.9,22228887,0,1,19.87,20.24,19.52,19.9,22228887
11/2/2017,20.5,20.63,19.64,19.71,24376214,0,1,20.5,20.63,19.64,19.71,24376214
11/1/2017,20.74,20.99,20.4,20.61,18801449,0,1,20.74,20.99,20.4,20.61,18801449
10/31/2017,21.26,21.56,20.46,20.62,28013022,0,1,21.26,21.56,20.46,20.62,28013022
10/30/2017,21.4,21.775,21.06,21.25,33933167,0,1,21.4,21.775,21.06,21.25,33933167
10/27/2017,20.18,21.96,20.15,21.68,63418227,0,1,20.18,21.96,20.15,21.68,63418227
10/26/2017,19.22,20.63,18.9,20.31,112021977,0,1,19.22,20.63,18.9,20.31,112021977
10/25/2017,17.2,17.41,17.03,17.15,17738013,0,1,17.2,17.41,17.03,17.15,17738013
10/24/2017,17.5,17.6,17.23,17.25,12448294,0,1,17.5,17.6,17.23,17.25,12448294
10/23/2017,17.94,17.955,17.34,17.37,13971035,0,1,17.94,17.955,17.34,17.37,13971035
10/20/2017,17.98,18.06,17.83,17.87,7214672,0,1,17.98,18.06,17.83,17.87,7214672
10/19/2017,17.84,17.95,17.65,17.89,9275143,0,1,17.84,17.95,17.65,17.89,9275143
10/18/2017,18.23,18.35,17.97,18.02,7737230,0,1,18.23,18.35,17.97,18.02,7737230
10/17/2017,18.31,18.465,18.11,18.28,8906378,0,1,18.31,18.465,18.11,18.28,8906378
10/16/2017,18.59,18.61,18.23,18.33,12898039,0,1,18.59,18.61,18.23,18.33,12898039
10/13/2017,18.45,18.79,18.35,18.63,15767898,0,1,18.45,18.79,18.35,18.63,15767898
10/12/2017,17.77,18.66,17.73,18.45,30569996,0,1,17.77,18.66,17.73,18.45,30569996
10/11/2017,17.47,17.78,17.43,17.73,9846695,0,1,17.47,17.78,17.43,17.73,9846695
10/10/2017,17.77,17.93,17.39,17.41,10158369,0,1,17.77,17.93,17.39,17.41,10158369
10/9/2017,17.82,18.05,17.65,17.67,8791038,0,1,17.82,18.05,17.65,17.67,8791038
10/6/2017,18.03,18.13,17.66,17.85,16311895,0,1,18.03,18.13,17.66,17.85,16311895
10/5/2017,17.8,18.29,17.74,18.25,21224398,0,1,17.8,18.29,17.74,18.25,21224398
10/4/2017,17.82,17.82,17.5,17.75,17329822,0,1,17.82,17.82,17.5,17.75,17329822
10/3/2017,17.13,17.63,17.12,17.59,12849092,0,1,17.13,17.63,17.12,17.59,12849092
10/2/2017,16.8,17.15,16.78,17.09,8450015,0,1,16.8,17.15,16.78,17.09,8450015
9/29/2017,16.89,17.04,16.75,16.87,9348597,0,1,16.89,17.04,16.75,16.87,9348597
9/28/2017,16.87,16.93,16.75,16.85,7008110,0,1,16.87,16.93,16.75,16.85,7008110
9/27/2017,16.9,17.05,16.755,16.95,9060926,0,1,16.9,17.05,16.755,16.95,9060926
9/26/2017,17.03,17.16,16.57,16.59,12717292,0,1,17.03,17.16,16.57,16.59,12717292
9/25/2017,17.6,17.72,16.82,16.98,13207368,0,1,17.6,17.72,16.82,16.98,13207368
9/22/2017,17.49,17.6275,17.42,17.61,5532085,0,1,17.49,17.6275,17.42,17.61,5532085
9/21/2017,17.6,17.65,17.35,17.58,6943655,0,1,17.6,17.65,17.35,17.58,6943655
9/20/2017,17.8,17.84,17.51,17.62,7712779,0,1,17.8,17.84,17.51,17.62,7712779
9/19/2017,17.66,17.8,17.48,17.76,6977923,0,1,17.66,17.8,17.48,17.76,6977923
9/18/2017,18.01,18.09,17.47,17.6,14691468,0,1,18.01,18.09,17.47,17.6,14691468
9/15/2017,18.25,18.395,17.95,18.01,12588822,0,1,18.25,18.395,17.95,18.01,12588822
9/14/2017,18.15,18.27,17.94,18.21,9284139,0,1,18.15,18.27,17.94,18.21,9284139
9/13/2017,18.15,18.49,18.09,18.2,13660408,0,1,18.15,18.49,18.09,18.2,13660408
9/12/2017,17.7,18.29,17.7,18.17,19767363,0,1,17.7,18.29,17.7,18.17,19767363
9/11/2017,17.47,17.78,17.27,17.66,13929685,0,1,17.47,17.78,17.27,17.66,13929685
9/8/2017,17.19,17.46,17.08,17.45,11577866,0,1,17.19,17.46,17.08,17.45,11577866
9/7/2017,16.85,17.41,16.8301,17.22,14591885,0,1,16.85,17.41,16.8301,17.22,14591885
9/6/2017,16.65,17.05,16.5162,16.83,12327058,0,1,16.65,17.05,16.5162,16.83,12327058
9/5/2017,16.82,16.9,16.44,16.65,10454175,0,1,16.82,16.9,16.44,16.65,10454175
9/1/2017,16.97,17,16.58,16.86,8481993,0,1,16.97,17,16.58,16.86,8481993
8/31/2017,16.99,17.1,16.88,16.91,7833987,0,1,16.99,17.1,16.88,16.91,7833987
8/30/2017,16.92,17.04,16.8,16.93,6617987,0,1,16.92,17.04,16.8,16.93,6617987
8/29/2017,16.61,17.055,16.6,16.93,11406466,0,1,16.61,17.055,16.6,16.93,11406466
8/28/2017,16.61,16.88,16.61,16.77,7717685,0,1,16.61,16.88,16.61,16.77,7717685
8/25/2017,16.65,16.82,16.51,16.65,11486003,0,1,16.65,16.82,16.51,16.65,11486003
8/24/2017,17.07,17.07,16.78,16.89,10236741,0,1,17.07,17.07,16.78,16.89,10236741
