Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
3/27/2018,121.57,122.63,116.74,117.48,1441898,0,1,121.57,122.63,116.74,117.48,1441898
3/26/2018,121.31,122.81,119.36,121.47,1397964,0,1,121.31,122.81,119.36,121.47,1397964
3/23/2018,123.06,124.39,119.43,119.48,1433059,0,1,123.06,124.39,119.43,119.48,1433059
3/22/2018,122.81,125.16,122.58,122.65,920700,0,1,122.81,125.16,122.58,122.65,920700
3/21/2018,125.13,126.5,124.37,124.6,965332,0,1,125.13,126.5,124.37,124.6,965332
3/20/2018,124.72,126.28,124.72,125.2,1175443,0,1,124.72,126.28,124.72,125.2,1175443
3/19/2018,125.14,126.39,123.14,124.22,1540338,0,1,125.14,126.39,123.14,124.22,1540338
3/16/2018,125.57,127.24,125.57,125.92,1904500,0,1,125.57,127.24,125.57,125.92,1904500
3/15/2018,123.77,126.5,123.77,125.31,1833219,0,1,123.77,126.5,123.77,125.31,1833219
3/14/2018,121,125.07,120.21,123.01,1998195,0,1,121,125.07,120.21,123.01,1998195
3/13/2018,121.24,122.52,120.08,120.51,1246572,0,1,121.24,122.52,120.08,120.51,1246572
3/12/2018,120.72,120.99,119.835,120.24,925201,0,1,120.72,120.99,119.835,120.24,925201
3/9/2018,119.28,120.91,117.76,120.46,1217002,0,1,119.28,120.91,117.76,120.46,1217002
3/8/2018,117.42,118.44,116.66,118.35,775241,0,1,117.42,118.44,116.66,118.35,775241
3/7/2018,116.61,118.49,116.32,117.93,1255379,0,1,116.61,118.49,116.32,117.93,1255379
3/6/2018,117.65,118.45,116.12,117.45,598173,0,1,117.65,118.45,116.12,117.45,598173
3/5/2018,115.1,117.4,114.88,117.26,567562,0,1,115.1,117.4,114.88,117.26,567562
3/2/2018,113.97,115.99,113.04,115.78,603812,0,1,113.97,115.99,113.04,115.78,603812
3/1/2018,116.06,116.86,113.78,115.02,804248,0,1,116.06,116.86,113.78,115.02,804248
2/28/2018,117.1,118.36,116,116.02,869892,0,1,117.1,118.36,116,116.02,869892
2/27/2018,117.59,118.48,116.41,116.41,821655,0,1,117.59,118.48,116.41,116.41,821655
2/26/2018,118.46,118.99,116.62,117.25,847224,0,1,118.46,118.99,116.62,117.25,847224
2/23/2018,115.49,118.12,114.7892,117.64,714471,0,1,115.49,118.12,114.7892,117.64,714471
2/22/2018,116.47,117.73,114.53,114.92,923942,0,1,116.47,117.73,114.53,114.92,923942
2/21/2018,116.83,118.11,115.58,115.7,1164927,0,1,116.83,118.11,115.58,115.7,1164927
2/20/2018,119.7,120,116.18,116.34,1940963,0,1,119.7,120,116.18,116.34,1940963
2/16/2018,116.47,121.61,116.23,120.55,2319024,0,1,116.47,121.61,116.23,120.55,2319024
2/15/2018,114.8,116.48,114.17,116.35,981514,0,1,114.8,116.48,114.17,116.35,981514
2/14/2018,110.18,114.03,110,113.98,824918,0,1,110.18,114.03,110,113.98,824918
2/13/2018,110.45,111.41,109.2,110.57,1013742,0,1,110.45,111.41,109.2,110.57,1013742
2/12/2018,109.56,111.53,109.28,111.03,3583095,0,1,109.56,111.53,109.28,111.03,3583095
2/9/2018,107.3,110.63,105.4,109.02,2045957,0,1,107.3,110.63,105.4,109.02,2045957
2/8/2018,109.24,110,105.58,105.64,1113044,0,1,109.24,110,105.58,105.64,1113044
2/7/2018,109.11,110.91,108.19,109.11,973681,0,1,109.11,110.91,108.19,109.11,973681
2/6/2018,106.92,109.85,106.091,109.41,1152636,0,1,106.92,109.85,106.091,109.41,1152636
2/5/2018,111.9,113.24,108.7,109.19,768725,0,1,111.9,113.24,108.7,109.19,768725
2/2/2018,113.85,114.42,112.46,112.51,781163,0,1,113.85,114.42,112.46,112.51,781163
2/1/2018,114.21,116.34,113.6401,114.7,851386,0,1,114.21,116.34,113.6401,114.7,851386
1/31/2018,112.35,115.32,112.22,114.92,895155,0,1,112.35,115.32,112.22,114.92,895155
1/30/2018,111.65,113.12,111.51,112.15,441365,0,1,111.65,113.12,111.51,112.15,441365
1/29/2018,114.89,115.44,111.92,112.41,930752,0,1,114.89,115.44,111.92,112.41,930752
1/26/2018,116.62,116.63,115.15,115.31,607189,0,1,116.62,116.63,115.15,115.31,607189
1/25/2018,116.28,116.635,115.63,115.99,545450,0,1,116.28,116.635,115.63,115.99,545450
1/24/2018,116.07,116.62,115.35,115.77,463863,0,1,116.07,116.62,115.35,115.77,463863
1/23/2018,114.4,115.99,114.31,115.77,605039,0,1,114.4,115.99,114.31,115.77,605039
1/22/2018,114.48,115.08,114.25,114.46,948071,0,1,114.48,115.08,114.25,114.46,948071
1/19/2018,115.07,115.26,114.1,114.48,813635,0,1,115.07,115.26,114.1,114.48,813635
1/18/2018,114.09,115.17,114.09,114.54,695635,0,1,114.09,115.17,114.09,114.54,695635
1/17/2018,113.07,114.47,112.98,114,680929,0,1,113.07,114.47,112.98,114,680929
1/16/2018,113.75,114.03,112.5,112.65,613622,0,1,113.75,114.03,112.5,112.65,613622
1/12/2018,112.23,113.79,112.01,113.62,647968,0,1,112.23,113.79,112.01,113.62,647968
1/11/2018,112.32,112.81,111.6,112.23,744497,0,1,112.32,112.81,111.6,112.23,744497
1/10/2018,112.43,112.61,111.74,111.96,571025,0,1,112.43,112.61,111.74,111.96,571025
1/9/2018,114.79,114.79,112.11,113.02,854950,0,1,114.79,114.79,112.11,113.02,854950
1/8/2018,112.44,114.6,112.27,114.31,649323,0,1,112.44,114.6,112.27,114.31,649323
1/5/2018,111.79,113.02,111.7301,113,508556,0,1,111.79,113.02,111.7301,113,508556
1/4/2018,111.54,112.35,110.6,111.47,705735,0,1,111.54,112.35,110.6,111.47,705735
1/3/2018,109.72,111.03,108.55,110.9,1186690,0,1,109.72,111.03,108.55,110.9,1186690
1/2/2018,114.69,115.13,109.32,109.45,1388799,0,1,114.69,115.13,109.32,109.45,1388799
12/29/2017,115.76,116.43,114.38,114.44,494886,0,1,115.76,116.43,114.38,114.44,494886
12/28/2017,114.65,115.6,114.37,115.5,412804,0,1,114.65,115.6,114.37,115.5,412804
12/27/2017,113.9,114.51,113.69,114.38,431688,0,1,113.9,114.51,113.69,114.38,431688
12/26/2017,113.35,114.22,112.51,113.91,703215,0,1,113.35,114.22,112.51,113.91,703215
12/22/2017,114.37,114.37,113.1601,113.99,452022,0,1,114.37,114.37,113.1601,113.99,452022
12/21/2017,116.11,116.5,114.04,114.19,961808,0,1,116.11,116.5,114.04,114.19,961808
12/20/2017,116.09,116.19,114.83,116.01,493825,0,1,116.09,116.19,114.83,116.01,493825
12/19/2017,116.14,116.36,114.54,115.55,882292,0,1,116.14,116.36,114.54,115.55,882292
12/18/2017,115.9,117.13,115.4,116.1,690475,0,1,115.9,117.13,115.4,116.1,690475
12/15/2017,114.53,115.2,114.1,115.03,1044726,0,1,114.53,115.2,114.1,115.03,1044726
12/14/2017,114.11,114.67,114,114.14,674018,0,1,114.11,114.67,114,114.14,674018
12/13/2017,114.33,115.46,113.6,113.78,910021,0,1,114.33,115.46,113.6,113.78,910021
12/12/2017,114.51,114.805,113.91,114.37,564453,0,1,114.51,114.805,113.91,114.37,564453
12/11/2017,113.23,114.441,113.23,114.32,568093,0,1,113.23,114.441,113.23,114.32,568093
12/8/2017,113.1,113.57,112.52,112.98,678526,0,1,113.1,113.57,112.52,112.98,678526
12/7/2017,112.11,113.71,112.11,112.82,1796296,0,1,112.11,113.71,112.11,112.82,1796296
12/6/2017,112.05,113.21,111.61,112.4,691611,0,1,112.05,113.21,111.61,112.4,691611
12/5/2017,112.36,113.67,111.73,112.44,825787,0,1,112.36,113.67,111.73,112.44,825787
12/4/2017,115.36,115.5,112.31,112.56,799751,0,1,115.36,115.5,112.31,112.56,799751
12/1/2017,115.36,115.76,112.99,114.96,817564,0,1,115.36,115.76,112.99,114.96,817564
11/30/2017,114.81,115.84,114.42,115.1,2560931,0,1,114.81,115.84,114.42,115.1,2560931
11/29/2017,117,117,113.97,114.74,1403567,0,1,117,117,113.97,114.74,1403567
11/28/2017,117.63,118.28,116.7,117.01,806116,0,1,117.63,118.28,116.7,117.01,806116
11/27/2017,117.25,117.78,116.64,117.09,864840,0,1,117.25,117.78,116.64,117.09,864840
11/24/2017,116.2,117.5,115.8,117.24,314637,0,1,116.2,117.5,115.8,117.24,314637
11/22/2017,116.14,116.58,115.6,115.77,725026,0,1,116.14,116.58,115.6,115.77,725026
11/21/2017,116.03,117.13,115.58,116.06,1142898,0,1,116.03,117.13,115.58,116.06,1142898
11/20/2017,114.05,115.49,113.915,115.18,849626,0,1,114.05,115.49,113.915,115.18,849626
11/17/2017,112.8,114,112.6,113.75,1659654,0,1,112.8,114,112.6,113.75,1659654
11/16/2017,110.46,113.62,110.46,112.97,771310,0,1,110.46,113.62,110.46,112.97,771310
11/15/2017,110.7,111.18,109.5,110.42,526242,0,1,110.7,111.18,109.5,110.42,526242
11/14/2017,110.66,111.71,110.015,111.17,1373818,0,1,110.66,111.71,110.015,111.17,1373818
11/13/2017,109.66,111.37,109.59,111.18,808998,0,1,109.66,111.37,109.59,111.18,808998
11/10/2017,108.92,109.91,108.63,109.75,552689,0,1,108.92,109.91,108.63,109.75,552689
11/9/2017,109.46,109.62,108.46,109.42,477694,0,1,109.46,109.62,108.46,109.42,477694
11/7/2017,109.69,109.94,108.8701,109.1,655262,0,1,109.69,109.94,108.8701,109.1,655262
11/6/2017,108.53,109.95,108.25,109.85,605090,0,1,108.53,109.95,108.25,109.85,605090
11/3/2017,109.35,110.085,108,108.49,938403,0,1,109.35,110.085,108,108.49,938403
11/2/2017,108.69,109.77,108.24,109.38,705339,0,1,108.69,109.77,108.24,109.38,705339
11/1/2017,108.14,109.68,107.6,108.86,786220,0,1,108.14,109.68,107.6,108.86,786220
10/31/2017,107.54,107.92,106.96,107.52,807524,0,1,107.54,107.92,106.96,107.52,807524
10/30/2017,108.8,109.1,106.84,107.58,796022,0,1,108.8,109.1,106.84,107.58,796022
10/27/2017,107.63,109.32,106.4,109.07,1476965,0,1,107.63,109.32,106.4,109.07,1476965
10/26/2017,108.47,109.385,108.3,109.2,818132,0,1,108.47,109.385,108.3,109.2,818132
10/25/2017,108.74,109.13,107.73,107.75,973794,0,1,108.74,109.13,107.73,107.75,973794
10/24/2017,108.36,109.08,107.87,108.89,424160,0,1,108.36,109.08,107.87,108.89,424160
10/23/2017,109.08,109.28,107.7,107.96,520633,0,1,109.08,109.28,107.7,107.96,520633
10/20/2017,108.91,109.65,108.6,108.94,698817,0,1,108.91,109.65,108.6,108.94,698817
10/19/2017,109,109,107.38,108.19,743206,0,1,109,109,107.38,108.19,743206
10/18/2017,108.8,109.69,108.46,109.26,588377,0,1,108.8,109.69,108.46,109.26,588377
10/17/2017,108.14,109.15,107.69,108.55,1063622,0,1,108.14,109.15,107.69,108.55,1063622
10/16/2017,108.5,108.77,108.11,108.46,458847,0,1,108.5,108.77,108.11,108.46,458847
10/13/2017,108.28,108.86,108.04,108.22,837790,0,1,108.28,108.86,108.04,108.22,837790
10/12/2017,108.3,109.24,107.95,108,914516,0,1,108.3,109.24,107.95,108,914516
10/11/2017,107.89,108.54,107.62,108.29,532278,0,1,107.89,108.54,107.62,108.29,532278
10/10/2017,109.77,109.93,107.95,108.12,597263,0,1,109.77,109.93,107.95,108.12,597263
10/9/2017,110.06,110.82,109.52,109.77,1692329,0,1,110.06,110.82,109.52,109.77,1692329
10/6/2017,108.97,109.97,108.56,109.92,696670,0,1,108.97,109.97,108.56,109.92,696670
10/5/2017,108.76,108.92,107.98,108.92,461206,0,1,108.76,108.92,107.98,108.92,461206
10/4/2017,107.71,108.88,107.37,108.57,538375,0,1,107.71,108.88,107.37,108.57,538375
10/3/2017,106.63,108.05,106.17,107.99,2346980,0,1,106.63,108.05,106.17,107.99,2346980
10/2/2017,106.76,107.705,106.34,106.49,602937,0,1,106.76,107.705,106.34,106.49,602937
9/29/2017,105.81,106.81,105.06,106.39,623866,0,1,105.81,106.81,105.06,106.39,623866
9/28/2017,104.63,105.85,104.22,105.62,617828,0,1,104.63,105.85,104.22,105.62,617828
9/27/2017,104.74,105.99,104.45,104.72,680557,0,1,104.74,105.99,104.45,104.72,680557
9/26/2017,104.06,104.54,103.33,104.22,543542,0,1,104.06,104.54,103.33,104.22,543542
9/25/2017,104.37,104.42,102.84,103.35,438377,0,1,104.37,104.42,102.84,103.35,438377
9/22/2017,105.38,106.18,104.18,104.58,813179,0,1,105.38,106.18,104.18,104.58,813179
9/21/2017,106,106.22,105.22,105.77,491996,0,1,106,106.22,105.22,105.77,491996
9/20/2017,105.52,106.04,104.831,105.89,515796,0,1,105.52,106.04,104.831,105.89,515796
9/19/2017,105.26,105.81,104.72,105.41,648727,0,1,105.26,105.81,104.72,105.41,648727
9/18/2017,104.69,105.2999,104.31,105.08,544802,0,1,104.69,105.2999,104.31,105.08,544802
9/15/2017,103.42,104.6,103.03,104.39,1526210,0,1,103.42,104.6,103.03,104.39,1526210
9/14/2017,103.11,103.56,102.34,103.39,385216,0,1,103.11,103.56,102.34,103.39,385216
9/13/2017,103.61,103.78,102.86,103.32,471557,0,1,103.61,103.78,102.86,103.32,471557
9/12/2017,104.73,105,103.44,103.73,431134,0,1,104.73,105,103.44,103.73,431134
9/11/2017,103.8,104.86,103.28,104.65,598534,0,1,103.8,104.86,103.28,104.65,598534
9/8/2017,103.49,104.295,103.07,103.31,400235,0,1,103.49,104.295,103.07,103.31,400235
9/7/2017,103.04,103.67,102.51,103.48,410219,0,1,103.04,103.67,102.51,103.48,410219
9/6/2017,102.67,103.03,102.06,102.79,697939,0,1,102.67,103.03,102.06,102.79,697939
9/5/2017,103.65,103.91,102.18,102.54,681305,0,1,103.65,103.91,102.18,102.54,681305
9/1/2017,104.18,104.25,103.62,103.94,532328,0,1,104.18,104.25,103.62,103.94,532328
8/31/2017,103,103.9101,102.2001,103.75,868501,0,1,103,103.9101,102.2001,103.75,868501
8/30/2017,101.54,102.62,101.27,102.52,458631,0,1,101.54,102.62,101.27,102.52,458631
8/29/2017,101.81,102.24,101.55,101.62,841777,0,1,101.81,102.24,101.55,101.62,841777
8/28/2017,101.93,102.51,101.58,102.21,759972,0,1,101.93,102.51,101.58,102.21,759972
8/25/2017,101.78,102.12,101.3,101.44,364562,0,1,101.78,102.12,101.3,101.44,364562
8/24/2017,101.12,101.65,100.3101,101.5,580784,0,1,101.12,101.65,100.3101,101.5,580784
8/23/2017,99.84,101.15,99.84,101.02,529195,0,1,99.84,101.15,99.84,101.02,529195
8/22/2017,99.03,100.51,98.95,100.24,434595,0,1,99.03,100.51,98.95,100.24,434595
8/21/2017,98.11,99.23,97.96,98.96,539050,0,1,98.11,99.23,97.96,98.96,539050
8/18/2017,97.79,98.77,97.381,98.2,486350,0,1,97.79,98.77,97.381,98.2,486350
8/17/2017,98.84,99.44,97.91,97.93,459174,0,1,98.84,99.44,97.91,97.93,459174
8/16/2017,98.74,99.75,98.63,99.23,471042,0,1,98.74,99.75,98.63,99.23,471042
8/15/2017,99.16,99.16,97.99,98.57,514430,0,1,99.16,99.16,97.99,98.57,514430
8/14/2017,98.69,99.27,98.4,98.85,346714,0,1,98.69,99.27,98.4,98.85,346714
8/11/2017,97.75,98.21,97.15,97.95,465634,0,1,97.75,98.21,97.15,97.95,465634
8/10/2017,99.29,99.65,97.52,97.74,888608,0,1,99.29,99.65,97.52,97.74,888608
8/9/2017,98.42,99.86,98.01,99.77,768137,0,1,98.42,99.86,98.01,99.77,768137
8/8/2017,99.28,99.51,98.36,98.73,630612,0,1,99.28,99.51,98.36,98.73,630612
