Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
3/27/2018,52.4,52.8,50.69,51.1,22027158,0,1,52.4,52.8,50.69,51.1,22027158
3/26/2018,51.95,52.55,51.52,52.29,26334835,0,1,51.95,52.55,51.52,52.29,26334835
3/23/2018,52.72,52.94,50.94,50.98,30391839,0,1,52.72,52.94,50.94,50.98,30391839
3/22/2018,54.21,54.28,52.175,52.53,31792203,0,1,54.21,54.28,52.175,52.53,31792203
3/21/2018,55.02,55.58,54.54,54.79,17476061,0,1,55.02,55.58,54.54,54.79,17476061
3/20/2018,55.77,55.89,54.655,54.9,26646553,0,1,55.77,55.89,54.655,54.9,26646553
3/19/2018,55.88,55.99,54.97,55.48,17336029,0,1,55.88,55.99,54.97,55.48,17336029
3/16/2018,56.99,57.17,55.87,55.9,36104598,0,1,56.99,57.17,55.87,55.9,36104598
3/15/2018,56.77,57.12,56.24,56.83,9876349,0,1,56.77,57.12,56.24,56.83,9876349
3/14/2018,57.86,57.9,56.45,56.63,12144497,0,1,57.86,57.9,56.45,56.63,12144497
3/13/2018,58.39,58.42,57.42,57.56,13651763,0,1,58.39,58.42,57.42,57.56,13651763
3/12/2018,58.27,58.56,57.96,58.02,12268932,0,1,58.27,58.56,57.96,58.02,12268932
3/9/2018,57.16,58.27,57,58.23,17238999,0,1,57.16,58.27,57,58.23,17238999
3/8/2018,56.75,57.02,56.23,56.72,15903447,0,1,56.75,57.02,56.23,56.72,15903447
3/7/2018,56.4,56.735,56.01,56.6,24788705,0,1,56.4,56.735,56.01,56.6,24788705
3/6/2018,57.71,57.87,56.64,57.07,23961357,0,1,57.71,57.87,56.64,57.07,23961357
3/5/2018,56.81,57.97,56.59,57.59,20560933,0,1,56.81,57.97,56.59,57.59,20560933
3/2/2018,56.92,57.615,56.42,57.41,22428543,0,1,56.92,57.615,56.42,57.41,22428543
3/1/2018,58.25,58.94,57.06,57.31,28491014,0,1,58.25,58.94,57.06,57.31,28491014
2/28/2018,59.47,59.82,58.32,58.41,17630117,0,1,59.47,59.82,58.32,58.41,17630117
2/27/2018,60.03,60.48,59.21,59.21,16903378,0,1,60.03,60.48,59.21,59.21,16903378
2/26/2018,59.75,60,58.95,59.97,16281545,0,1,59.75,60,58.95,59.97,16281545
2/23/2018,59.07,59.24,58.35,59.17,20875785,0,1,59.07,59.24,58.35,59.17,20875785
2/22/2018,59.88,60.17,58.68,58.81,17934401,0,1,59.88,60.17,58.68,58.81,17934401
2/21/2018,59.86,60.49,59.73,59.73,19876213,0,1,59.86,60.49,59.73,59.73,19876213
2/20/2018,59.86,61.2651,59.78,59.95,18075855,0,1,59.86,61.2651,59.78,59.95,18075855
2/16/2018,59.67,60.43,59.67,59.95,18210682,0,1,59.67,60.43,59.67,59.95,18210682
2/15/2018,59.82,60.1,59.15,60.02,22006404,0,1,59.82,60.1,59.15,60.02,22006404
