Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
3/27/2018,74,74.8949,73.275,73.7,14625541,0,1,74,74.8949,73.275,73.7,14625541
3/26/2018,73.65,74.15,72.7548,74,14894438,0,1,73.65,74.15,72.7548,74,14894438
3/23/2018,73.81,74.21,72.67,72.89,19069634,0,1,73.81,74.21,72.67,72.89,19069634
3/22/2018,74.42,74.7,73.39,73.5,17118037,0,1,74.42,74.7,73.39,73.5,17118037
3/21/2018,74.23,75.64,73.98,75.04,14813757,0,1,74.23,75.64,73.98,75.04,14813757
3/20/2018,74.22,74.7,73.95,73.99,12832959,0,1,74.22,74.7,73.95,73.99,12832959
3/19/2018,75,75.01,73.865,74.15,12112007,0,1,75,75.01,73.865,74.15,12112007
3/16/2018,74.36,75.12,74.36,75.12,30035185,0,1,74.36,75.12,74.36,75.12,30035185
3/15/2018,74.35,75,74.1,74.42,14431472,0,1,74.35,75,74.1,74.42,14431472
3/14/2018,74.64,74.79,73.53,73.6,14683884,0,1,74.64,74.79,73.53,73.6,14683884
3/13/2018,75.33,75.82,74.25,74.53,13408868,0,1,75.33,75.82,74.25,74.53,13408868
3/12/2018,74.87,75.58,74.69,75.24,14070886,0,1,74.87,75.58,74.69,75.24,14070886
3/9/2018,74.82,75.06,74.21,74.56,19385382,0,1,74.82,75.06,74.21,74.56,19385382
3/8/2018,74.5,74.77,73.69,74.12,18633737,0,1,74.5,74.77,73.69,74.12,18633737
3/7/2018,75,75.24,73.56,74.26,27255463,0,1,75,75.24,73.56,74.26,27255463
3/6/2018,76.67,76.98,75.861,76.18,10696030,0,1,76.67,76.98,75.861,76.18,10696030
3/5/2018,75.23,76.56,75.121,76.27,14890975,0,1,75.23,76.56,75.121,76.27,14890975
3/2/2018,74.89,75.87,74.48,75.55,15630250,0,1,74.89,75.87,74.48,75.55,15630250
3/1/2018,75.53,76.6808,74.855,75.2,15696665,0,1,75.53,76.6808,74.855,75.2,15696665
2/28/2018,78.16,78.25,75.7,75.74,16453545,0,1,78.16,78.25,75.7,75.74,16453545
2/27/2018,79,79.87,77.5,77.5,14420126,0,1,79,79.87,77.5,77.5,14420126
2/26/2018,77.74,78.93,77.56,78.84,16733474,0,1,77.74,78.93,77.56,78.84,16733474
2/23/2018,76.09,77.62,75.95,77.53,12685294,0,1,76.09,77.62,75.95,77.53,12685294
2/22/2018,75.3,76.84,75.185,75.86,13399232,0,1,75.3,76.84,75.185,75.86,13399232
2/21/2018,75.82,76.435,74.87,74.89,11347176,0,1,75.82,76.435,74.87,74.89,11347176
2/20/2018,76.47,77.47,75.461,75.75,12753690,0,1,76.47,77.47,75.461,75.75,12753690
2/16/2018,76.15,77.12,75.85,76.54,13674350,0,1,76.15,77.12,75.85,76.54,13674350
2/15/2018,76.62,76.7,75.45,76.21,14030212,0,1,76.62,76.7,75.45,76.21,14030212
2/14/2018,75.79,76.66,75.165,76.46,16741063,0,1,75.79,76.66,75.165,76.46,16741063
2/13/2018,76.1,76.75,75.73,76.3,11846694,0,1,76.1,76.75,75.73,76.3,11846694
2/12/2018,77.05,77.621,75.841,76.42,19095387,0,1,77.05,77.621,75.841,76.42,19095387
2/9/2018,76.25,76.48,73.9,75.78,28642694,0,1,76.25,76.48,73.9,75.78,28642694
2/8/2018,77.44,77.58,76.03,76.07,25441223,0,1,77.44,77.58,76.03,76.07,25441223
2/7/2018,78.44,79.41,76.92,76.94,21669549,0,1,78.44,79.41,76.92,76.94,21669549
2/6/2018,78.51,80.35,76.9,78.35,36178748,0,1,78.51,80.35,76.9,78.35,36178748
2/5/2018,83.28,83.99,78.13,79.72,30074991,0,1,83.28,83.99,78.13,79.72,30074991
2/2/2018,85.13,86.01,82.9978,84.53,29684559,0,1,85.13,86.01,82.9978,84.53,29684559
2/1/2018,87.5,89.25,87.35,89.07,17952508,0,1,87.5,89.25,87.35,89.07,17952508
1/31/2018,86.56,87.47,86.33,87.3,14103043,0,1,86.56,87.47,86.33,87.3,14103043
1/30/2018,87.54,88.38,86.78,86.78,12135811,0,1,87.54,88.38,86.78,86.78,12135811
1/29/2018,88.59,89.3,87.95,88.01,8876966,0,1,88.59,89.3,87.95,88.01,8876966
1/26/2018,88.64,89,88.47,89,8983385,0,1,88.64,89,88.47,89,8983385
1/25/2018,88.55,88.87,88.2,88.37,10541834,0,1,88.55,88.87,88.2,88.37,10541834
1/24/2018,88.49,88.918,88.01,88.53,10106938,0,1,88.49,88.918,88.01,88.53,10106938
1/23/2018,88.25,88.46,87.74,88.3,9685959,0,1,88.25,88.46,87.74,88.3,9685959
1/22/2018,87.17,88.29,87.05,88.25,9681905,0,1,87.17,88.29,87.05,88.25,9681905
1/19/2018,87.57,87.76,86.61,87.15,12700399,0,1,87.57,87.76,86.61,87.15,12700399
1/18/2018,87.77,88.19,87.34,87.43,8579334,0,1,87.77,88.19,87.34,87.43,8579334
1/17/2018,87.2,88.21,86.93,88,10483088,0,1,87.2,88.21,86.93,88,10483088
1/16/2018,87.74,87.76,86.6,86.97,10836102,0,1,87.74,87.76,86.6,86.97,10836102
1/12/2018,87.2,87.99,87.18,87.52,9804861,0,1,87.2,87.99,87.18,87.52,9804861
1/11/2018,86.36,87.37,85.93,86.93,14358191,0,1,86.36,87.37,85.93,86.93,14358191
1/10/2018,87,87.19,85.98,86.08,10624415,0,1,87,87.19,85.98,86.08,10624415
1/9/2018,86.94,87.15,86.65,86.77,7870756,0,1,86.94,87.15,86.65,86.77,7870756
1/8/2018,86.7,87.15,86.6034,87.14,10549116,0,1,86.7,87.15,86.6034,87.14,10549116
1/5/2018,86.75,86.88,85.705,86.75,11003133,0,1,86.75,86.88,85.705,86.75,11003133
1/4/2018,86.79,87.22,86.43,86.82,10840055,0,1,86.79,87.22,86.43,86.82,10840055
1/3/2018,85.16,86.965,84.82,86.7,13862035,0,1,85.16,86.965,84.82,86.7,13862035
1/2/2018,83.82,85.195,83.66,85.03,11447647,0,1,83.82,85.195,83.66,85.03,11447647
12/29/2017,84,84.2,83.64,83.64,8463522,0,1,84,84.2,83.64,83.64,8463522
12/28/2017,83.98,84.05,83.8,84.02,7487247,0,1,83.98,84.05,83.8,84.02,7487247
12/27/2017,83.99,84.1,83.74,83.9,6825086,0,1,83.99,84.1,83.74,83.9,6825086
12/26/2017,83.96,84.36,83.9,83.98,4717376,0,1,83.96,84.36,83.9,83.98,4717376
12/22/2017,83.815,84.02,83.6,83.97,10065910,0,1,83.815,84.02,83.6,83.97,10065910
12/21/2017,83.32,84.27,82.96,83.85,13449636,0,1,83.32,84.27,82.96,83.85,13449636
12/20/2017,82.63,83.14,82.5201,82.87,10275611,0,1,82.63,83.14,82.5201,82.87,10275611
12/19/2017,82.99,83.17,82.33,82.44,10235419,0,1,82.99,83.17,82.33,82.44,10235419
12/18/2017,83.04,83.6744,82.91,82.94,9355224,0,1,83.04,83.6744,82.91,82.94,9355224
12/15/2017,83.1,83.28,82.87,83.03,25196695,0,1,83.1,83.28,82.87,83.03,25196695
12/14/2017,83.04,83.33,82.89,82.9,9485125,0,1,83.04,83.33,82.89,82.9,9485125
12/13/2017,82.61,83.3,82.48,83.12,10048298,0,1,82.61,83.3,82.48,83.12,10048298
12/12/2017,83.09,83.38,82.7,82.76,11302886,0,1,83.09,83.38,82.7,82.76,11302886
12/11/2017,82.95,83.25,82.74,83.03,8670818,0,1,82.95,83.25,82.74,83.03,8670818
12/8/2017,82.75,82.9,82.26,82.66,10865102,0,1,82.75,82.9,82.26,82.66,10865102
12/7/2017,82.4,82.62,82.17,82.55,11329637,0,1,82.4,82.62,82.17,82.55,11329637
12/6/2017,83.08,83.2,82.21,82.28,12002675,0,1,83.08,83.2,82.21,82.28,12002675
12/5/2017,83.5,83.77,82.71,82.89,9251978,0,1,83.5,83.77,82.71,82.89,9251978
12/4/2017,83.21,84.175,83,83.57,11960443,0,1,83.21,84.175,83,83.57,11960443
12/1/2017,83.44,84.13,82.41,83.46,13751851,0,1,83.44,84.13,82.41,83.46,13751851
11/30/2017,82.45,83.4,82.41,83.29,18041317,0,1,82.45,83.4,82.41,83.29,18041317
11/29/2017,81.65,82.31,81.48,82.27,9475070,0,1,81.65,82.31,81.48,82.27,9475070
11/28/2017,81.41,81.999,81.31,81.67,9415527,0,1,81.41,81.999,81.31,81.67,9415527
11/27/2017,81.32,81.4,81.02,81.11,8693590,0,1,81.32,81.4,81.02,81.11,8693590
11/24/2017,81.44,81.7,81.22,81.42,3851283,0,1,81.44,81.7,81.22,81.42,3851283
11/22/2017,81.16,81.4051,81.05,81.1,7935387,0,1,81.16,81.4051,81.05,81.1,7935387
11/21/2017,80.69,81.25,80.64,80.87,8806565,0,1,80.69,81.25,80.64,80.87,8806565
11/20/2017,80.23,80.64,80.01,80.55,8457293,0,1,80.23,80.64,80.01,80.55,8457293
11/17/2017,80.32,80.66,80.16,80.24,9211520,0,1,80.32,80.66,80.16,80.24,9211520
11/16/2017,80.44,80.85,80.145,80.56,10440352,0,1,80.44,80.85,80.145,80.56,10440352
11/15/2017,81.75,82.09,81.15,81.21,9531060,0,1,81.75,82.09,81.15,81.21,9531060
11/14/2017,82.42,82.75,82.09,82.24,9241110,0,1,82.42,82.75,82.09,82.24,9241110
11/13/2017,82.65,83.09,82.6,82.89,6718298,0,1,82.65,83.09,82.6,82.89,6718298
11/10/2017,83.01,83.08,82.42,82.94,8687062,0,1,83.01,83.08,82.42,82.94,8687062
11/9/2017,83.3,84.14,83.08,83.97,10332203,0,1,83.3,84.14,83.08,83.97,10332203
11/7/2017,83.74,83.82,83.03,83.58,8420512,0,1,83.74,83.82,83.03,83.58,8420512
11/6/2017,83.3,83.87,83.06,83.75,8979116,0,1,83.3,83.87,83.06,83.75,8979116
11/3/2017,83.42,83.64,83.16,83.18,6807003,0,1,83.42,83.64,83.16,83.18,6807003
11/2/2017,83.6,83.705,82.91,83.53,7729028,0,1,83.6,83.705,82.91,83.53,7729028
11/1/2017,83.39,83.94,83.26,83.87,9234038,0,1,83.39,83.94,83.26,83.87,9234038
10/31/2017,83.65,83.68,83.17,83.35,8439312,0,1,83.65,83.68,83.17,83.35,8439312
10/30/2017,83.71,83.95,83.41,83.54,7784259,0,1,83.71,83.95,83.41,83.54,7784259
10/27/2017,83,84.24,82.01,83.71,14805318,0,1,83,84.24,82.01,83.71,14805318
10/26/2017,83.37,83.65,83.11,83.47,8816415,0,1,83.37,83.65,83.11,83.47,8816415
10/25/2017,83.45,83.73,82.9465,83.2,7651626,0,1,83.45,83.73,82.9465,83.2,7651626
10/24/2017,83.55,83.8065,83.31,83.47,7310730,0,1,83.55,83.8065,83.31,83.47,7310730
10/23/2017,83.15,83.76,83.0401,83.24,9812800,0,1,83.15,83.76,83.0401,83.24,9812800
10/20/2017,82.85,83.13,82.62,83.11,9325185,0,1,82.85,83.13,82.62,83.11,9325185
10/19/2017,82.35,83.05,82.33,82.74,7922037,0,1,82.35,83.05,82.33,82.74,7922037
10/18/2017,82.96,83.391,82.54,82.76,6351012,0,1,82.96,83.391,82.54,82.76,6351012
10/17/2017,82.63,82.97,82.54,82.96,6273406,0,1,82.63,82.97,82.54,82.96,6273406
10/16/2017,82.7,82.95,82.54,82.81,5696629,0,1,82.7,82.95,82.54,82.81,5696629
10/13/2017,82.73,83.08,82.36,82.41,7173911,0,1,82.73,83.08,82.36,82.41,7173911
10/12/2017,82.31,82.5,82.17,82.43,6496593,0,1,82.31,82.5,82.17,82.43,6496593
10/11/2017,82.16,82.74,82.14,82.6,6848224,0,1,82.16,82.74,82.14,82.6,6848224
10/10/2017,82.34,82.735,82.09,82.26,7201227,0,1,82.34,82.735,82.09,82.26,7201227
10/9/2017,81.84,82.18,81.76,82.03,6620140,0,1,81.84,82.18,81.76,82.03,6620140
10/6/2017,81.77,81.89,81.355,81.71,6013010,0,1,81.77,81.89,81.355,81.71,6013010
10/5/2017,81.72,82.24,81.59,82.02,7234124,0,1,81.72,82.24,81.59,82.02,7234124
10/4/2017,81.8,81.87,81.45,81.79,6263944,0,1,81.8,81.87,81.45,81.79,6263944
10/3/2017,81.41,81.97,81.3,81.76,6069501,0,1,81.41,81.97,81.3,81.76,6069501
10/2/2017,81.3,81.819,81.245,81.63,6745659,0,1,81.3,81.819,81.245,81.63,6745659
9/29/2017,81.94,82.055,81.575,81.98,9788759,0,1,81.94,82.055,81.575,81.98,9788759
9/28/2017,81.63,82.45,81.56,82.19,15509840,0,1,81.63,82.45,81.56,82.19,15509840
9/27/2017,80.89,81.45,80.79,81.43,9490679,0,1,80.89,81.45,80.79,81.43,9490679
9/26/2017,80.71,80.995,80.56,80.89,7497692,0,1,80.71,80.995,80.56,80.89,7497692
9/25/2017,80.03,81,79.98,80.98,10279323,0,1,80.03,81,79.98,80.98,10279323
9/22/2017,79.72,80.3,79.67,79.92,9956319,0,1,79.72,80.3,79.67,79.92,9956319
9/21/2017,80.49,80.53,79.76,79.89,11847292,0,1,80.49,80.53,79.76,79.89,11847292
9/20/2017,80.28,80.66,80.26,80.55,10378119,0,1,80.28,80.66,80.26,80.55,10378119
9/19/2017,80.06,80.39,79.985,80.22,9240207,0,1,80.06,80.39,79.985,80.22,9240207
9/18/2017,79.79,80.14,79.7,80.09,8435779,0,1,79.79,80.14,79.7,80.09,8435779
9/15/2017,80.12,80.21,79.55,80.07,15518996,0,1,80.12,80.21,79.55,80.07,15518996
9/14/2017,79.85,80.23,79.77,80.09,9046275,0,1,79.85,80.23,79.77,80.09,9046275
